Treating.Clinician,Number of Patients Seen,Number of Patients Seen Salbutamol,Proportion Salbutamol,Hospital
90107017,1,0,0%,Casey
90109179,7,0,0%,Casey
90109536,4,0,0%,Casey
90111143,1,0,0%,Casey
90111234,1,0,0%,Casey
90111256,2,0,0%,Casey
90111265,3,0,0%,Casey
90112083,4,0,0%,Casey
90113108,1,0,0%,Casey
90113883,23,0,0%,Casey
90114206,2,0,0%,Casey
90115768,3,0,0%,Casey
90116155,6,0,0%,Casey
90117588,13,0,0%,Casey
90117635,5,0,0%,Casey
90118132,9,0,0%,Casey
90119742,11,0,0%,Casey
90119752,1,0,0%,Casey
90119860,7,0,0%,Casey
90122677,6,0,0%,Casey
90123243,5,0,0%,Casey
90123244,3,0,0%,Casey
90123255,3,0,0%,Casey
90123261,3,0,0%,Casey
90123262,12,0,0%,Casey
90123265,16,0,0%,Casey
90123269,1,0,0%,Casey
90123274,28,0,0%,Casey
90123276,1,0,0%,Casey
90123277,1,0,0%,Casey
90123284,5,0,0%,Casey
90123291,2,0,0%,Casey
90123296,4,0,0%,Casey
90123301,6,0,0%,Casey
90123307,1,0,0%,Casey
90123312,8,0,0%,Casey
90123315,1,0,0%,Casey
90123323,4,0,0%,Casey
90123332,1,0,0%,Casey
90123335,2,0,0%,Casey
90123337,11,0,0%,Casey
90123338,2,0,0%,Casey
90123339,1,0,0%,Casey
90124199,13,0,0%,Casey
90124200,5,0,0%,Casey
90124202,26,0,0%,Casey
90124438,21,0,0%,Casey
90124444,1,0,0%,Casey
90124449,8,0,0%,Casey
90124452,3,0,0%,Casey
90124464,5,0,0%,Casey
90124491,5,0,0%,Casey
90124501,7,0,0%,Casey
90124502,8,0,0%,Casey
90124508,14,0,0%,Casey
90124539,1,0,0%,Casey
90124543,8,0,0%,Casey
90124547,1,0,0%,Casey
90124552,4,0,0%,Casey
90124570,2,0,0%,Casey
90124598,2,0,0%,Casey
90124612,8,0,0%,Casey
90124618,1,0,0%,Casey
90124642,12,0,0%,Casey
90124936,9,0,0%,Casey
90124939,2,0,0%,Casey
90127515,1,0,0%,Casey
90135325,19,0,0%,Casey
90136829,2,0,0%,Casey
90137181,5,0,0%,Casey
90137813,19,0,0%,Casey
90140200,3,0,0%,Casey
90141463,1,0,0%,Casey
90141583,4,0,0%,Casey
90142792,2,0,0%,Casey
90142808,5,0,0%,Casey
90142809,1,0,0%,Casey
90142812,6,0,0%,Casey
90142824,4,0,0%,Casey
90142827,12,0,0%,Casey
90142841,27,0,0%,Casey
90142861,1,0,0%,Casey
90142863,1,0,0%,Casey
90142868,12,0,0%,Casey
90142876,3,0,0%,Casey
90142879,2,0,0%,Casey
90144606,1,0,0%,Casey
90144646,14,0,0%,Casey
90144738,4,0,0%,Casey
90144933,20,0,0%,Casey
90144951,12,0,0%,Casey
90145292,3,0,0%,Casey
90145408,20,0,0%,Casey
90145507,1,0,0%,Casey
90145525,11,0,0%,Casey
90145734,1,0,0%,Casey
90145741,10,0,0%,Casey
90145753,8,0,0%,Casey
90145756,3,0,0%,Casey
90145758,3,0,0%,Casey
90145901,58,0,0%,Casey
90146246,5,0,0%,Casey
90146286,1,0,0%,Casey
90148355,7,0,0%,Casey
90148374,4,0,0%,Casey
90151693,1,0,0%,Casey
90152266,2,0,0%,Casey
90152983,4,0,0%,Casey
90154449,2,0,0%,Casey
90155074,10,0,0%,Casey
90158840,1,0,0%,Casey
90160353,2,0,0%,Casey
90160495,2,0,0%,Casey
90160622,1,0,0%,Casey
90160654,4,0,0%,Casey
90160655,1,0,0%,Casey
90161039,4,0,0%,Casey
90161096,5,0,0%,Casey
90161173,3,0,0%,Casey
90162832,1,0,0%,Casey
90162877,2,0,0%,Casey
90162880,9,0,0%,Casey
90162953,4,0,0%,Casey
90163090,1,0,0%,Casey
90163243,18,0,0%,Casey
90164074,1,0,0%,Casey
90164194,3,0,0%,Casey
