Treating.Clinician,Hospital,total,target,percentage,jitter_total,jitter_target,jitter_percentage
90074963,Casey,4,2,50,4.009461353,2.027738931,50.08486647
90075008,MMC- Clayton,22,0,0,22.00408091,0.020878319,-1.77816E-06
90075334,MMC- Clayton,13,0,0,13.00981039,0.023723976,0.085069791
90075767,Casey,4,0,0,4.006169926,0.081017127,0.074817904
90075767,Dandenong,3,0,0,3.004068497,0.055289707,0.047875767
90075796,MMC- Clayton,4,0,0,4.008352037,0.006549098,0.084894713
90076316,Casey,3,0,0,3.006934824,0.038789928,0.084759575
90076316,Dandenong,3,0,0,3.003101146,0.015952256,0.078267038
90076693,MMC- Clayton,8,0,0,8.009780039,0.055600275,0.033937133
90076797,MMC- Clayton,2,0,0,2.007701573,-0.003428496,0.022857557
90077401,MMC- Clayton,18,0,0,18.00637135,0.024426829,0.001359552
90077628,Casey,12,1,8,12.00604611,1.037457851,8.094424983
90077920,MMC- Clayton,1,0,0,1.001708915,0.066389979,0.093290807
90078071,MMC- Clayton,14,0,0,14.00579465,0.026315861,0.058032891
90078140,Casey,4,0,0,4.003962624,0.072831839,0.065095561
90078263,Casey,7,0,0,7.00172402,0.007954935,0.063220796
90078705,MMC- Clayton,21,0,0,21.00458156,0.065966478,0.01123643
90078787,MMC- Clayton,3,0,0,3.009655017,0.037803803,0.034655513
90078814,Casey,2,0,0,2.008447888,0.055263227,0.005761586
90078814,MMC- Clayton,6,0,0,6.005540788,0.035184752,0.02748711
90079400,Casey,1,0,0,1.009540265,0.090213245,-0.003161346
90079546,MMC- Clayton,15,0,0,15.00405024,0.08918545,0.06119613
90080314,Dandenong,2,0,0,2.00507433,0.031474255,0.036448549
90080314,MMC- Clayton,3,0,0,3.005896446,0.010184776,0.073652111
90080745,MMC- Clayton,8,1,12,8.007918927,1.032138725,12.03416527
90081325,MMC- Clayton,32,0,0,32.00914066,0.062645932,0.063796441
90081556,MMC- Clayton,5,0,0,5.000795728,0.032528986,0.004080199
90081588,MMC- Clayton,1,0,0,1.005655109,0.013174038,0.024399205
90081957,Dandenong,1,0,0,1.002615443,0.048531231,0.056906981
90081957,MMC- Clayton,14,0,0,14.00257019,0.053613479,0.049794562
90082317,Dandenong,4,0,0,4.00250788,0.072396865,0.058701753
90082317,MMC- Clayton,8,0,0,8.009054499,0.094932711,0.081329579
90082515,Casey,15,2,13,15.0089675,2.036480993,13.00475661
90082515,Dandenong,3,0,0,3.005672346,0.034462068,0.092605465
90082524,Casey,2,0,0,2.008068528,0.070244205,0.056379416
90082606,MMC- Clayton,1,0,0,1.003943631,0.021132797,0.02107584
90082724,Casey,15,0,0,15.00821667,0.080540922,-0.004882343
90083027,Casey,7,0,0,7.004891383,0.061116907,0.080043754
90083027,MMC- Clayton,11,0,0,11.00535966,0.025795459,-0.00463056
90083180,Casey,7,0,0,7.005281605,0.008330067,0.004263123
90083180,Dandenong,4,0,0,4.007108783,0.075605412,0.025399103
90083199,Dandenong,4,0,0,4.003984183,0.076035412,0.071596318
90083266,MMC- Clayton,29,0,0,29.00713065,0.073941127,0.00538324
90085012,Casey,4,0,0,4.004471489,0.074648757,0.045997113
90085012,Dandenong,1,0,0,1.004785718,0.055368405,0.047124807
90085043,MMC- Clayton,3,0,0,3.005352772,0.014266126,0.091475045
90085693,Casey,1,0,0,1.002325507,0.049288521,0.000596959
90085715,Casey,5,0,0,5.009683356,0.040516739,0.030596426
90085898,MMC- Clayton,11,0,0,11.00256935,0.058934581,0.089862562
90086088,MMC- Clayton,4,0,0,4.002979604,0.036584472,0.041546039
90086136,Casey,24,0,0,24.00567376,0.021425104,0.02062068
90086232,MMC- Clayton,3,0,0,3.004973858,0.012370368,0.062124156
90086511,Casey,14,1,7,14.00147719,1.070993006,7.01544757
90088199,Casey,7,1,14,7.007857837,0.998447641,14.06596456
90088199,Dandenong,4,0,0,4.001873508,0.028990901,0.039028794
90089123,Casey,10,0,0,10.00008838,0.025378642,-0.001820001
90089947,Casey,8,0,0,8.005604551,0.063743155,0.048567382
90089975,Casey,7,0,0,7.004981207,0.043903573,0.046075609
90090296,Dandenong,5,0,0,5.002645967,-0.002015558,0.010123381
90090681,Casey,8,0,0,8.002323392,0.05017415,0.065514834
90091034,MMC- Clayton,2,0,0,2.00701641,0.039836584,0.015103417
90093120,MMC- Clayton,7,0,0,7.003507465,0.034765987,0.052299236
90093190,Casey,1,0,0,1.004365664,0.077763225,0.048300869
90093190,MMC- Clayton,2,0,0,2.001782327,0.086049004,0.073110911
90093516,MMC- Clayton,6,0,0,6.005780051,0.034289514,0.003616347
90094007,Casey,3,0,0,3.006431152,0.036245797,0.060784196
90094126,MMC- Clayton,8,0,0,8.003635265,0.020525405,0.060159902
90094427,MMC- Clayton,15,0,0,15.00590728,1.92644E-05,0.063832132
90094829,Casey,2,0,0,1.999974483,0.021485932,0.032564775
90095252,Casey,5,0,0,5.003681674,-0.001499645,0.022405522
90096616,MMC- Clayton,8,0,0,8.008388273,0.087105948,0.014404319
90096638,MMC- Clayton,1,0,0,1.008727859,0.08130231,0.046596816
90097823,Casey,5,0,0,5.009492372,0.082818467,0.030003822
90097823,Dandenong,7,0,0,7.006963476,0.035010125,0.066206044
90097823,MMC- Clayton,4,0,0,4.001182297,0.042332566,0.042456445
90098181,MMC- Clayton,17,0,0,17.00786793,0.028876636,0.060884023
90098405,Casey,5,0,0,5.005906835,0.079963229,0.058999681
90098744,MMC- Clayton,23,0,0,23.00659171,0.034705489,0.025651905
90098753,Casey,7,0,0,7.00850541,0.027146137,0.017477246
90098792,MMC- Clayton,1,0,0,1.005433619,0.047994747,-0.003220881
90099597,MMC- Clayton,1,0,0,1.001822889,0.025864098,0.005165729
90099752,Dandenong,6,0,0,6.000703093,0.057660661,0.006153234
90099752,MMC- Clayton,12,0,0,12.00344083,0.081953135,0.054786618
90100013,Casey,9,1,11,9.002397663,0.999453796,11.01143586
90100582,Dandenong,7,0,0,7.00289949,0.053355735,0.057012148
90100582,MMC- Clayton,6,0,0,6.001494796,0.061120954,0.088776139
90101121,MMC- Clayton,2,0,0,2.007385234,0.036778794,0.023795223
90101122,MMC- Clayton,5,0,0,5.008220503,0.065888832,0.042501805
90101219,Dandenong,2,1,50,2.0094244,1.055595703,50.03355667
90101274,Casey,24,1,4,24.00177562,1.030648486,4.002722331
90101274,MMC- Clayton,33,0,0,33.00205718,0.049146326,0.011322063
90102876,MMC- Clayton,2,0,0,2.008780998,0.082376439,0.043244917
90102895,Casey,1,0,0,1.009708999,0.062126224,0.075396735
90102895,Dandenong,5,0,0,5.001702738,0.037185604,0.038697538
90103211,MMC- Clayton,1,0,0,1.005817685,0.001590456,0.016696828
90103318,Casey,23,2,8,23.00790377,2.038556169,8.075746867
90104011,Casey,8,0,0,8.003514996,0.011001792,0.065728886
90104011,Dandenong,5,0,0,5.008589248,0.070432928,0.019032827
90104797,Casey,5,0,0,5.009087465,-0.002622014,0.031007313
90104880,Dandenong,3,0,0,3.006622335,0.064400085,0.086676662
90104983,MMC- Clayton,2,0,0,2.00647538,0.092082233,0.002955143
90105952,Casey,3,0,0,3.00778777,0.033101624,0.064895477
90107017,Dandenong,3,0,0,3.006724948,0.037526086,0.093063187
90107514,MMC- Clayton,18,0,0,18.00383066,0.091669388,0.06331921
90107765,Dandenong,7,0,0,7.007174172,0.064731489,0.037911038
90108333,MMC- Clayton,1,0,0,1.009751368,0.022446749,0.00741841
90109083,Dandenong,2,0,0,2.00501532,0.042261284,0.071528142
90109179,Casey,2,0,0,2.001664566,0.041406398,0.072684108
90109179,Dandenong,1,0,0,0.999953351,0.075495315,0.067031829
90109179,MMC- Clayton,6,0,0,6.007034198,0.03821347,0.05580776
90109536,Casey,3,0,0,3.004480585,0.025018663,0.075935427
90110663,MMC- Clayton,1,0,0,1.003383977,0.071427076,0.0460681
90111201,MMC- Clayton,1,0,0,1.005508418,-0.001577677,0.046605189
90111234,Casey,1,0,0,1.006268861,0.086330401,0.009384987
90111258,Casey,1,0,0,1.003562623,0.026464849,0.017775666
90111262,MMC- Clayton,1,0,0,1.007846058,0.048924136,0.060214791
90111265,Casey,1,0,0,1.009078453,-0.000613843,0.072422143
90111526,MMC- Clayton,2,0,0,2.002519392,0.082076897,0.015432274
90112083,Casey,3,0,0,3.005838158,0.03896509,0.053422959
90112361,Dandenong,2,0,0,2.00799887,0.025251683,0.063510161
90112578,Dandenong,3,0,0,3.009770455,0.085191352,0.030559943
90113108,Dandenong,3,0,0,3.007241237,0.035320679,0.062526755
90113108,MMC- Clayton,2,0,0,2.004309187,0.084307737,0.032492929
90113497,MMC- Clayton,14,0,0,14.00819492,0.069106929,0.062300436
90113883,Casey,11,0,0,11.003207,0.093115131,0.012691506
90115768,Casey,3,0,0,3.002127752,0.052456931,0.058141378
90115768,MMC- Clayton,1,0,0,1.001305881,0.073012649,0.046055043
90115923,Dandenong,5,0,0,5.002795702,0.077390847,0.060228328
90116155,Casey,4,0,0,4.002220203,-0.003321539,0.058636298
90116155,Dandenong,1,0,0,1.005349148,0.020995082,0.075017551
90116410,MMC- Clayton,1,0,0,1.005227776,0.069148409,0.005047578
90117588,Casey,7,0,0,7.005955262,0.079135094,0.044802293
90117588,Dandenong,3,0,0,3.004378062,0.007527961,0.063651642
90117588,MMC- Clayton,7,0,0,7.005375639,0.084960906,0.015083115
90117635,Casey,5,0,0,5.003381185,0.068428314,0.017791633
90118204,Dandenong,2,0,0,2.007361448,0.072073854,0.090755704
90118416,MMC- Clayton,11,0,0,11.00114093,0.07524195,0.090213137
