Treating.Clinician,Hospital,total,target,percentage,jitter_total,jitter_target,jitter_percentage
90043227,MMC- Clayton,8,0,0,8.049788917,0.093596423,0.035398305
90043338,MMC- Clayton,8,0,0,8.016433745,0.044844501,0.006657223
90043759,Casey,6,0,0,6.018084313,0.060786484,0.042514011
90043890,Dandenong,1,0,0,1.092362447,0.025573156,0.050444504
90044135,Casey,14,0,0,14.04057672,0.025092354,0.07059995
90044868,Casey,8,0,0,8.044263713,0.067106587,0.061943487
90044868,Dandenong,2,0,0,2.068421296,0.070926548,-0.000345651
90045378,MMC- Clayton,2,0,0,2.012998801,0.025684971,0.031273955
90046308,Casey,10,0,0,10.0295675,0.070279154,0.06416827
90046416,Casey,9,0,0,9.078687573,0.001352765,0.020355431
90047010,Dandenong,1,0,0,1.04731428,0.02010248,0.020856068
90047064,MMC- Clayton,1,0,0,1.027547629,0.080017056,0.05546792
90047604,Casey,2,0,0,2.010846605,0.039613959,0.092893383
90047937,Dandenong,1,0,0,1.01890524,0.017738199,0.067110296
90048709,Casey,4,0,0,4.086472288,0.024498509,-0.001463121
90048747,MMC- Clayton,3,0,0,3.088366352,0.081129137,0.060695287
90049188,Dandenong,8,0,0,8.026458495,0.050052528,0.089020141
90051139,Dandenong,9,4,44,9.045402362,4.01108528,44.09006057
90051548,MMC- Clayton,8,0,0,8.055245415,0.091436747,0.078708981
90052261,MMC- Clayton,4,0,0,4.014421786,0.01951775,0.04144372
90052270,MMC- Clayton,15,4,26,15.0192568,4.014208877,25.99779486
90052753,Casey,2,0,0,2.006654111,0.077519397,0.033247223
90052916,Dandenong,9,0,0,9.002641175,0.008002134,0.073629235
90052916,MMC- Clayton,6,0,0,6.015003559,0.027688816,0.088240411
90053104,Dandenong,3,0,0,3.071036526,0.006756138,0.041597636
90053409,Casey,9,0,0,9.083869727,-0.00118149,0.01658722
90053418,Casey,1,0,0,1.083897534,0.035681737,0.038755602
90053418,Dandenong,1,0,0,1.070105538,0.049531739,-0.000626785
90053715,Casey,8,0,0,8.050491198,0.072776483,0.076726451
90053753,MMC- Clayton,2,0,0,2.072270275,0.089508382,0.014115164
90054690,Casey,6,0,0,6.073649006,0.012607423,0.022398863
90054690,Dandenong,5,2,40,5.009381257,1.995044978,40.04889525
90055388,Casey,4,0,0,4.014689724,0.050509015,0.078540336
90055388,Dandenong,2,0,0,2.046810825,0.059276384,0.055574097
90056255,MMC- Clayton,2,0,0,2.082217927,0.027394766,0.003879464
90056621,Casey,4,0,0,4.034011445,0.011847675,0.001049779
90056621,Dandenong,5,0,0,5.068891843,0.085060779,0.007341463
90056792,Casey,6,0,0,6.092994551,0.05752162,0.064851516
90057408,Dandenong,5,0,0,5.018503566,0.090399112,0.047724959
90057415,Casey,3,0,0,2.997340601,0.072301225,0.01521107
90057415,MMC- Clayton,2,0,0,1.99970131,0.029368436,0.042558498
90057890,Dandenong,1,0,0,1.043739653,0.030899314,0.028232794
90058180,MMC- Clayton,3,0,0,3.062736449,0.09123497,0.08328499
90058333,MMC- Clayton,3,0,0,3.005684139,0.086603376,0.056411789
90058786,Dandenong,1,0,0,1.004583012,0.07796881,0.0882546
90059584,Casey,1,0,0,0.999787649,0.034430846,0.013156076
90059584,Dandenong,3,0,0,3.047604265,0.077708734,0.047668862
90059584,MMC- Clayton,20,7,35,20.03781201,7.00329639,35.06681519
90059876,MMC- Clayton,1,0,0,1.027889963,0.043015411,0.05042299
90060546,MMC- Clayton,1,0,0,1.017984431,0.074773665,0.047530698
90060746,Casey,4,0,0,4.055114933,-0.004613643,-2.16482E-05
90060945,Casey,1,0,0,1.005476845,0.012854684,0.015726558
90060945,Dandenong,6,4,66,6.045657038,4.077666011,66.03776857
90060950,Dandenong,1,0,0,1.060522277,0.006578546,0.06560703
90060950,MMC- Clayton,7,0,0,7.002018734,0.04342565,0.006374758
90061220,Casey,5,0,0,5.016660842,0.047569976,0.044034258
90061220,MMC- Clayton,7,0,0,7.063026474,0.042967086,0.055258108
90062205,MMC- Clayton,38,1,2,38.07720805,1.017482014,2.06363712
90063200,Casey,8,0,0,8.056846312,0.003642383,0.067943969
90064512,Casey,10,0,0,10.03532731,0.08156981,0.023030823
90066524,MMC- Clayton,18,2,11,18.00451636,2.064526463,11.01324274
90068267,Dandenong,12,0,0,11.99856918,0.059344215,0.048253118
90068451,Dandenong,4,0,0,4.025377965,0.085185515,0.086179407
90069969,Casey,4,0,0,4.054174406,0.011205848,0.044579675
90070093,MMC- Clayton,21,0,0,20.99835826,0.001642148,0.083904157
90070899,Casey,1,0,0,0.997463928,0.072345545,0.009328754
90071350,Dandenong,3,0,0,3.032370698,0.044822861,0.030313125
90071662,Casey,9,0,0,9.089689762,0.051104789,0.011090092
90071914,Casey,4,0,0,4.065490812,0.063450878,0.090558644
90072373,Dandenong,3,0,0,3.008562561,0.071027438,0.05815714
90072373,MMC- Clayton,10,0,0,10.0867953,0.092462708,0.058395947
90074347,Casey,5,0,0,5.065732194,0.03189386,0.031134888
90074642,Dandenong,1,0,0,1.012331206,0.089914805,0.026726449
90074642,MMC- Clayton,2,0,0,2.015934648,0.054585906,0.063057956
90074963,Casey,4,0,0,4.048907726,0.040521033,-0.001360777
90075008,MMC- Clayton,22,5,22,22.07691705,5.038194401,22.05714284
90075334,MMC- Clayton,13,0,0,13.01654885,0.006017344,0.060888981
90075767,Casey,4,0,0,3.998356533,0.0875716,0.001074935
90075767,Dandenong,3,1,33,3.07750913,1.070868053,33.06230607
90075796,MMC- Clayton,4,0,0,4.033653904,0.09407892,0.049479357
90076316,Casey,3,0,0,3.092986887,0.078798243,0.049703136
90076316,Dandenong,3,0,0,3.065279476,0.08129657,0.000892397
90076693,MMC- Clayton,8,0,0,8.054717979,0.00597484,0.074178788
90076797,MMC- Clayton,2,0,0,2.064067592,-0.004108798,0.072315828
90077401,MMC- Clayton,18,0,0,18.07722602,0.010528347,0.045685741
90077628,Casey,12,0,0,11.99725456,0.061258892,0.077606795
90077920,MMC- Clayton,1,0,0,1.068264752,-0.002174668,0.029325359
90078071,MMC- Clayton,14,3,21,14.06633283,3.047226917,21.04889195
90078140,Casey,4,0,0,4.08144121,-0.000186959,0.037200549
90078263,Casey,7,0,0,7.007884282,0.041508724,0.021589176
90078705,MMC- Clayton,21,0,0,20.99518982,0.066476593,0.085215668
90078787,MMC- Clayton,3,0,0,3.074924303,0.010756935,0.091145136
90078814,Casey,2,0,0,2.092977093,0.093005057,0.07689598
90078814,MMC- Clayton,6,0,0,6.013191646,0.018855793,0.07695405
90079400,Casey,1,0,0,1.009531256,0.067549471,0.010710339
90079546,MMC- Clayton,15,4,26,14.99925245,4.009319334,26.00579728
90080314,Dandenong,2,0,0,2.055683223,0.022538839,-0.003226015
90080314,MMC- Clayton,3,0,0,3.053604661,0.066148762,0.023803953
90080745,MMC- Clayton,8,0,0,8.025581248,0.046742723,0.064010032
90081325,MMC- Clayton,32,4,12,32.06357159,4.02987512,12.0446964
90081556,MMC- Clayton,5,0,0,5.042252741,0.045052398,0.046675911
90081588,MMC- Clayton,1,0,0,1.024986537,0.002672309,0.080691563
90081957,Dandenong,1,0,0,1.070656953,0.004691723,0.053150655
90081957,MMC- Clayton,14,0,0,14.01121076,0.083007149,0.025925704
90082317,Dandenong,4,0,0,4.020781394,0.055807487,0.018323885
90082317,MMC- Clayton,8,0,0,8.053464298,0.04172455,0.092515417
90082515,Casey,15,0,0,15.05851765,0.091388096,0.025004538
90082515,Dandenong,3,0,0,3.078896739,0.067886727,0.087834498
90082524,Casey,2,0,0,2.045741214,0.01915269,0.009917207
90082606,MMC- Clayton,1,0,0,0.99556397,0.052560518,0.01860536
90082724,Casey,15,2,13,15.07797397,2.074541714,13.04038036
90083027,Casey,7,0,0,7.003800439,0.039036767,0.023968752
90083027,MMC- Clayton,11,0,0,11.08720562,0.034773793,-0.003512405
90083180,Casey,7,0,0,7.094720912,0.00628669,0.023472289
90083180,Dandenong,4,0,0,4.030287251,0.060408274,0.083397987
90083199,Dandenong,4,0,0,4.084271689,0.006837393,0.066154355
90083266,MMC- Clayton,29,3,10,29.05598021,3.067130088,10.02997053
90085012,Casey,4,0,0,4.092884218,0.017794063,0.052060397
90085012,Dandenong,1,0,0,1.080161158,0.025355005,0.061847296
90085043,MMC- Clayton,3,0,0,3.045414058,0.056012797,0.020133814
90085693,Casey,1,0,0,1.011868652,0.092415516,0.049886263
90085715,Casey,5,0,0,5.045463895,0.061837696,0.036478028
90085898,MMC- Clayton,11,0,0,11.05193661,0.017465858,0.022473493
90086088,MMC- Clayton,4,0,0,4.043247546,0.082948938,0.076065998
90086136,Casey,24,4,16,24.04657911,4.032607926,16.02542808
90086232,MMC- Clayton,3,0,0,3.050276767,0.004170561,0.010726507
90086511,Casey,14,0,0,14.08218953,0.085491431,0.019289654
90088199,Casey,7,0,0,7.05925898,0.02297753,0.023746346
90088199,Dandenong,4,0,0,4.054130943,0.043958328,0.033444114
90089123,Casey,10,0,0,10.04016527,0.092416441,0.081935617
90089947,Casey,8,0,0,8.055777422,0.037669016,0.054145596
90089975,Casey,7,0,0,7.049865609,0.028321017,0.041486129
90090296,Dandenong,5,0,0,5.035196069,0.05926232,0.086891414
90090681,Casey,8,4,50,7.998673336,4.028556091,50.02786866
90091034,MMC- Clayton,2,0,0,2.083954923,9.58917E-05,0.051830833
90093120,MMC- Clayton,7,0,0,7.054323253,0.06449019,0.008775458
90093190,Casey,1,0,0,1.047030395,0.036980828,0.078325922
90093190,MMC- Clayton,2,0,0,2.075796983,0.041533794,0.078840739
90093516,MMC- Clayton,6,0,0,6.05797586,0.081426946,0.047964111
90094007,Casey,3,0,0,2.99842789,0.011059676,0.092554738
90094126,MMC- Clayton,8,0,0,8.06812006,0.065457992,0.033846278
90094427,MMC- Clayton,15,0,0,15.09137546,0.05821754,0.071958988
90094829,Casey,2,0,0,2.045167641,0.084681451,0.005259576
90095252,Casey,5,0,0,5.056623183,0.086514466,0.044814966
90096616,MMC- Clayton,8,0,0,8.005366393,0.067496052,0.01712963
90096638,MMC- Clayton,1,0,0,1.020352602,0.090896878,0.089450526
90097823,Casey,5,3,60,5.047302325,3.018177075,60.04007364
90097823,Dandenong,7,0,0,7.082588563,0.035066269,0.033239885
90097823,MMC- Clayton,4,0,0,4.055599294,0.014850132,-0.001565466
90098181,MMC- Clayton,17,4,23,16.99589007,4.018704208,23.09285481
90098405,Casey,5,0,0,5.001246933,0.053201567,0.091407264
90098744,MMC- Clayton,23,0,0,23.06658718,0.088844152,0.062983104
90098753,Casey,7,0,0,7.066453081,-0.003624705,0.07385493
90098792,MMC- Clayton,1,0,0,1.07648553,0.082432722,0.049903962
90099597,MMC- Clayton,1,0,0,1.054144197,-0.002253276,0.087950038
90099752,Dandenong,6,0,0,6.04190459,-6.67968E-05,0.054853355
90099752,MMC- Clayton,12,0,0,12.06064167,0.027259463,0.030823581
90100013,Casey,9,0,0,9.01440799,0.00016084,0.051085699
90100582,Dandenong,7,0,0,7.02611075,0.076585521,0.080180108
90100582,MMC- Clayton,6,0,0,6.076024084,0.041889738,-0.003615573
90101121,MMC- Clayton,2,0,0,2.017835472,0.01948347,0.004397374
90101122,MMC- Clayton,5,0,0,5.085690328,0.042146171,0.061551647
90101219,Dandenong,2,0,0,2.082547555,0.089244215,-0.004089221
90101274,Casey,24,2,8,24.00453404,2.059216723,8.088244502
90101274,MMC- Clayton,33,4,12,33.04208624,4.063334453,12.00067625
90102876,MMC- Clayton,2,0,0,2.069551004,0.0649211,0.057469375
90102895,Casey,1,0,0,1.059038212,0.079826781,0.081160311
90102895,Dandenong,5,0,0,5.045566361,0.031295638,0.007701326
90103211,MMC- Clayton,1,0,0,1.069380235,0.059768476,0.005706801
90103318,Casey,23,0,0,23.03660241,0.093700079,0.035314892
90104011,Casey,8,0,0,8.040920364,0.004951705,0.032101161
90104011,Dandenong,5,0,0,5.048927176,0.029785528,0.046270235
90104797,Casey,5,3,60,5.041200045,3.071522965,60.0682385
