Treating.Clinician,Hospital,total,target,percentage,jitter_total,jitter_target,jitter_percentage
90057890,Dandenong,1,0,0,1.005177551,0.006296774,0.004201823
90058180,MMC- Clayton,3,0,0,3.002905997,0.005960579,0.002829238
90058333,MMC- Clayton,3,0,0,3.005552713,0.003941856,0.005053762
90058786,Dandenong,1,0,0,1.003331198,0.006811892,0.001130906
90059584,Casey,1,0,0,1.007467502,0.003922841,0.00117729
90059584,Dandenong,3,0,0,3.004050761,0.000327486,-0.000171897
90059584,MMC- Clayton,20,0,0,20.00885646,0.00903472,0.008590916
90059876,MMC- Clayton,1,0,0,1.001079052,0.005335105,-0.000143701
90060546,MMC- Clayton,1,0,0,1.002299915,0.00236148,0.000504488
90060746,Casey,4,0,0,4.003179514,0.00329048,0.003088125
90060945,Casey,1,0,0,1.008273855,-1.05219E-05,0.00918776
90060945,Dandenong,6,0,0,6.005204045,0.007161757,0.006364845
90060950,Dandenong,1,0,0,1.008223441,0.005451067,0.002176275
90060950,MMC- Clayton,7,1,14,7.002797665,1.009394193,14.00105967
90061220,Casey,5,0,0,5.002451393,0.00434558,1.67244E-05
90061220,MMC- Clayton,7,0,0,7.000638925,0.004118823,0.006636874
90062205,MMC- Clayton,38,2,5,38.00362609,2.003181972,5.000953901
90063200,Casey,8,0,0,8.00114151,0.008985076,0.00086354
90064512,Casey,10,0,0,10.0009223,0.005126435,0.001221053
90066524,MMC- Clayton,18,0,0,18.003815,0.002682212,0.007486271
90068267,Dandenong,12,0,0,12.00200218,0.002546695,0.003292403
90068451,Dandenong,4,0,0,4.003234349,0.008577205,0.007746753
90069969,Casey,4,0,0,4.000599478,0.001888892,0.006453357
90070093,MMC- Clayton,21,0,0,21.00572579,0.003527799,0.003012499
90070899,Casey,1,0,0,1.005999322,0.003272548,0.004302209
90071350,Dandenong,3,0,0,3.008073169,0.00629793,0.001098106
90071662,Casey,9,0,0,9.003381453,0.007398793,0.008286647
90071914,Casey,4,0,0,4.005584711,-9.73586E-05,0.006786171
90072373,Dandenong,3,0,0,2.999652768,0.003503567,0.008741105
90072373,MMC- Clayton,10,0,0,10.00891115,0.001818594,0.00524139
90074347,Casey,5,0,0,5.00361778,0.006763922,0.003684593
90074642,Dandenong,1,0,0,1.007524716,0.00539726,0.000409895
90074642,MMC- Clayton,2,0,0,2.006181294,0.006191968,0.005493334
90074963,Casey,4,0,0,4.005054979,0.009320188,0.003080307
90075008,MMC- Clayton,22,2,9,22.00088711,1.999939199,9.007112316
90075334,MMC- Clayton,13,0,0,13.00265225,0.00039562,0.00782772
90075767,Casey,4,0,0,4.007573228,0.009200404,0.008822426
90075767,Dandenong,3,0,0,3.006410041,0.005331742,0.006989013
90075796,MMC- Clayton,4,0,0,4.002631584,0.000620085,0.005747794
90076316,Casey,3,0,0,3.000150415,0.001805046,0.007331398
90076316,Dandenong,3,0,0,3.001471941,0.005630053,0.008150198
90076693,MMC- Clayton,8,0,0,8.002680146,0.001925219,0.00340776
90076797,MMC- Clayton,2,0,0,2.00589903,0.003786609,0.006286214
90077401,MMC- Clayton,18,0,0,18.00345547,0.005810124,0.009342868
90077628,Casey,12,0,0,12.00199963,0.003059116,0.000591479
90077920,MMC- Clayton,1,0,0,1.008321287,0.003335777,0.007145858
90078071,MMC- Clayton,14,0,0,14.00580811,0.003655012,0.007069281
90078140,Casey,4,0,0,4.001763665,0.009141266,0.002556965
90078263,Casey,7,0,0,7.006188604,0.004502317,0.000910551
90078705,MMC- Clayton,21,0,0,21.00759571,0.007603326,0.006269439
90078787,MMC- Clayton,3,0,0,3.000174375,0.000403443,0.006405025
90078814,Casey,2,0,0,2.006048495,0.006711706,0.002429174
90078814,MMC- Clayton,6,0,0,6.000327431,0.001340367,0.005485383
90079400,Casey,1,0,0,1.002378177,0.006357262,0.002091392
90079546,MMC- Clayton,15,2,13,15.00548084,2.000710277,13.00255407
90080314,Dandenong,2,0,0,2.005559679,0.001108712,0.000563824
90080314,MMC- Clayton,3,0,0,3.003654552,0.00579353,0.003064963
90080745,MMC- Clayton,8,0,0,8.007823491,0.004875705,0.004821012
90081325,MMC- Clayton,32,0,0,32.0059556,0.003241555,0.005810787
90081556,MMC- Clayton,5,0,0,5.006093822,0.004117348,0.006026931
90081588,MMC- Clayton,1,0,0,1.001731859,0.001310066,0.004170388
90081957,Dandenong,1,0,0,1.005214621,0.007622865,0.00470384
90081957,MMC- Clayton,14,0,0,14.00673214,0.002021578,0.002987166
90082317,Dandenong,4,0,0,4.005280555,0.006299725,0.00604866
90082317,MMC- Clayton,8,0,0,8.00101707,0.00375058,-1.90036E-05
90082515,Casey,15,0,0,15.00712519,0.004504249,0.00582958
90082515,Dandenong,3,0,0,3.00942051,-3.0861E-05,0.00364253
90082524,Casey,2,0,0,2.003023195,-1.35758E-05,0.008399734
90082606,MMC- Clayton,1,0,0,1.002244909,0.002776205,0.006290634
90082724,Casey,15,1,6,15.00264738,1.007353205,6.000131166
90083027,Casey,7,0,0,7.006312915,0.008747905,0.004074872
90083027,MMC- Clayton,11,0,0,11.008776,0.003357853,0.006056949
90083180,Casey,7,0,0,7.00313594,-0.000483401,-0.00030967
90083180,Dandenong,4,0,0,4.003844063,0.008839478,0.000200359
90083199,Dandenong,4,0,0,4.000095601,0.002667889,0.005592089
90083266,MMC- Clayton,29,0,0,29.0037437,0.005007469,0.004483184
90085012,Casey,4,0,0,4.002118584,0.006620656,0.008463144
90085012,Dandenong,1,0,0,0.999985304,-0.00030061,0.008754013
90085043,MMC- Clayton,3,0,0,3.005041412,0.003991232,0.007166985
90085693,Casey,1,0,0,1.007529538,0.002763254,0.004301542
90085715,Casey,5,1,20,5.001904266,1.00549264,20.00047223
90085898,MMC- Clayton,11,0,0,11.00409766,0.005517467,0.001795613
90086088,MMC- Clayton,4,0,0,4.005859725,0.009252161,0.001902359
90086136,Casey,24,0,0,23.99963241,0.000648524,0.00416581
90086232,MMC- Clayton,3,0,0,3.005596971,0.007501344,0.008674
90086511,Casey,14,0,0,14.00238465,0.007298093,0.007493099
90088199,Casey,7,0,0,7.001248283,0.006554089,0.00135634
90088199,Dandenong,4,0,0,4.005204353,0.00891871,0.006911891
90089123,Casey,10,0,0,10.00921908,0.005930262,-0.000292478
90089947,Casey,8,0,0,8.001314583,0.002981887,0.006082433
90089975,Casey,7,0,0,7.007129304,0.003833154,0.00741879
90090296,Dandenong,5,0,0,5.005451632,0.000172979,0.002172954
90090681,Casey,8,0,0,8.002218019,0.00225558,0.003996134
90091034,MMC- Clayton,2,0,0,2.000794008,0.000247055,4.06318E-05
90093120,MMC- Clayton,7,0,0,7.005478393,0.00910838,0.006462136
90093190,Casey,1,0,0,1.001213425,0.003997984,0.000282977
90093190,MMC- Clayton,2,0,0,2.001846693,0.005330986,0.00579824
90093516,MMC- Clayton,6,0,0,6.007326897,0.008163533,0.00496459
90094007,Casey,3,0,0,3.006169235,0.005874424,0.008258035
90094126,MMC- Clayton,8,0,0,8.005207177,0.000310835,0.005385544
90094427,MMC- Clayton,15,0,0,15.00371932,0.004821578,0.007742524
90094829,Casey,2,0,0,2.002548315,0.000525753,0.002888805
90095252,Casey,5,0,0,5.002106984,0.004562826,0.001226106
90096616,MMC- Clayton,8,0,0,7.999783895,0.001135717,0.004741264
90096638,MMC- Clayton,1,0,0,1.009398599,0.002638446,0.005082135
90097823,Casey,5,0,0,5.002498553,0.004728889,0.001071572
90097823,Dandenong,7,0,0,7.002959825,0.00141024,0.000807211
90097823,MMC- Clayton,4,0,0,4.000141253,0.006125225,0.001448522
90098181,MMC- Clayton,17,1,5,17.00883048,1.003732988,5.002364909
90098405,Casey,5,0,0,5.001322464,0.004217473,0.007159783
90098744,MMC- Clayton,23,0,0,23.00413046,0.00703526,-0.00046819
90098753,Casey,7,0,0,7.00005571,0.006659834,0.003945901
90098792,MMC- Clayton,1,0,0,1.008818673,0.008840341,0.001769834
90099597,MMC- Clayton,1,0,0,1.00750038,3.63858E-05,0.007269201
90099752,Dandenong,6,0,0,6.003574943,0.004955578,0.003643634
90099752,MMC- Clayton,12,0,0,12.00182493,0.004137155,0.009069626
90100013,Casey,9,0,0,9.008622992,0.005922708,0.00711912
90100582,Dandenong,7,0,0,7.002674875,9.0164E-05,-0.000232005
90100582,MMC- Clayton,6,0,0,5.999566174,0.008903395,0.008313734
90101121,MMC- Clayton,2,0,0,2.003026378,0.006779864,0.007945298
90101122,MMC- Clayton,5,0,0,5.006650737,8.00598E-05,0.00033169
90101219,Dandenong,2,0,0,2.001575487,0.001548571,-0.000484102
90101274,Casey,24,0,0,24.00250477,0.009241735,0.000415089
90101274,MMC- Clayton,33,1,3,32.99973832,1.000399801,3.005803497
90102876,MMC- Clayton,2,0,0,1.999650515,0.002769803,0.009165529
90102895,Casey,1,0,0,1.005970343,0.002457452,0.007539393
90102895,Dandenong,5,0,0,5.004561222,0.008940924,0.006105908
90103211,MMC- Clayton,1,0,0,1.004512981,0.002299863,0.005509096
90103318,Casey,23,0,0,23.00466221,0.000368941,0.004299062
90104011,Casey,8,0,0,8.009356897,0.007866625,0.002963061
90104011,Dandenong,5,0,0,5.00175089,0.000686277,0.008623595
90104797,Casey,5,0,0,5.009389708,0.004489758,0.000899981
90104880,Dandenong,3,0,0,3.006633045,0.005590957,-0.000299483
90104983,MMC- Clayton,2,0,0,2.002751443,0.007867103,0.004010087
90105952,Casey,3,0,0,3.008616212,0.002931369,0.000475791
90107017,Dandenong,3,0,0,3.001694284,0.008753656,-0.000299361
90107514,MMC- Clayton,18,0,0,18.00081069,0.004147653,0.006188964
90107765,Dandenong,7,0,0,7.004261837,0.001545803,0.007223669
90108333,MMC- Clayton,1,0,0,1.000468466,0.007192896,0.007478096
90109083,Dandenong,2,0,0,2.006963841,0.001036423,0.008126916
90109179,Casey,2,0,0,2.002118568,0.001055488,0.004138144
90109179,Dandenong,1,0,0,1.008507368,0.004306089,3.20704E-05
90109179,MMC- Clayton,6,0,0,6.007699936,0.008393002,0.007128942
90109536,Casey,3,0,0,3.000259631,0.009210066,0.008403224
90110663,MMC- Clayton,1,0,0,1.008139665,0.008478382,0.009403438
90111201,MMC- Clayton,1,0,0,1.001810981,0.000247551,0.006988621
90111234,Casey,1,0,0,1.006197956,0.000464234,0.007597472
90111258,Casey,1,0,0,1.009046232,0.007466352,-0.000411849
90111262,MMC- Clayton,1,0,0,1.000322743,0.000305561,0.002799944
90111265,Casey,1,0,0,0.99973719,0.000986755,0.001069249
90111526,MMC- Clayton,2,0,0,2.001384641,0.002126338,0.005035277
90112083,Casey,3,0,0,3.001416388,0.00626433,0.009408363
90112361,Dandenong,2,0,0,2.002077101,0.003121081,-0.000361916
90112578,Dandenong,3,0,0,3.00040664,0.00442784,0.004752641
