Treating.Clinician,total,Hospital,target,percentage,jitter_total,jitter_target,jitter_percentage
90098181,17,MMC- Clayton,0,0,16.99878898,-0.00161188,0.002183615
90098744,23,MMC- Clayton,0,0,23.00041126,-0.001586411,0.001683588
90098792,1,MMC- Clayton,0,0,1.001753033,-0.004987947,-0.002997568
90099597,1,MMC- Clayton,0,0,1.000856176,0.004186315,-0.000243959
90099752,12,MMC- Clayton,1,8,11.99528342,0.999605565,7.998282412
90100582,6,MMC- Clayton,1,16,6.004557154,1.003984506,16.00271797
90101121,2,MMC- Clayton,0,0,1.996519582,0.004828337,-0.001769256
90101122,5,MMC- Clayton,0,0,5.000741399,-0.00014557,0.002109303
90101274,33,MMC- Clayton,1,3,32.99685045,0.998632222,2.9999168
90102876,2,MMC- Clayton,0,0,2.004304039,-0.002219276,-0.003349433
90103211,1,MMC- Clayton,0,0,0.997861172,0.000705897,0.002367851
90104983,2,MMC- Clayton,0,0,2.003317496,-0.004286385,0.0001993
90107514,18,MMC- Clayton,3,16,18.00170229,3.004356423,15.99668275
90108333,1,MMC- Clayton,0,0,1.001961151,-0.001297228,0.003812823
90109179,6,MMC- Clayton,0,0,5.995357198,-0.001375844,-0.004360085
90110663,1,MMC- Clayton,0,0,1.003893776,-0.002564385,0.000870374
90111201,1,MMC- Clayton,0,0,0.996634031,0.002844372,-0.000162945
90111262,1,MMC- Clayton,0,0,0.998913315,-0.003996232,0.00189907
90111526,2,MMC- Clayton,0,0,1.995471785,-0.004443032,-0.000276434
90113108,2,MMC- Clayton,0,0,2.00368692,-0.000673546,-0.004946026
90113497,14,MMC- Clayton,0,0,14.00134038,5.28992E-05,0.002922767
90115768,1,MMC- Clayton,0,0,0.996254904,-0.004823355,0.002872225
90116410,1,MMC- Clayton,0,0,1.003240701,0.004283375,0.004630584
90117588,7,MMC- Clayton,0,0,6.998128511,-0.001780584,0.001389552
90118416,11,MMC- Clayton,1,9,10.99825551,0.998643985,8.997553369
90119011,1,MMC- Clayton,0,0,0.999845059,-0.002263467,-0.000805689
90119285,8,MMC- Clayton,0,0,7.995613448,-0.003484944,0.002544502
90119577,43,MMC- Clayton,0,0,43.00124795,0.004320097,-0.004778395
90119823,12,MMC- Clayton,2,16,11.99767609,1.997510906,15.99891884
90119848,1,MMC- Clayton,0,0,1.004421133,0.000155879,0.002796681
90119860,2,MMC- Clayton,0,0,1.997686325,0.002451785,-0.004479746
90119901,5,MMC- Clayton,1,20,5.001131457,1.002125216,20.00008002
90119988,4,MMC- Clayton,0,0,3.995398482,0.003226785,0.003474518
90121871,2,MMC- Clayton,0,0,1.99829107,-0.004698473,-0.004013671
90122677,32,MMC- Clayton,1,3,32.00439719,1.001139353,3.004143631
