Treating.Clinician,total,Hospital,target,percentage,jitter_total,jitter_percentage
90111844,10,MMC- Clayton,0,0,10.00421115,0.000623804
90112537,1,MMC- Clayton,0,0,0.998386591,0.00251419
90113108,14,MMC- Clayton,0,0,14.00275694,-0.00021255
90113497,17,MMC- Clayton,0,0,16.99705094,0.001487184
90114450,5,MMC- Clayton,0,0,5.002248233,0.003478108
90115768,4,MMC- Clayton,0,0,3.995758205,0.000619548
90116410,17,MMC- Clayton,0,0,16.99667837,-0.003128858
90117588,13,MMC- Clayton,0,0,13.00015629,0.002703447
90117635,1,MMC- Clayton,0,0,1.000445197,-0.004724513
90118416,14,MMC- Clayton,0,0,14.00066703,0.002940608
90119011,1,MMC- Clayton,0,0,0.998942877,0.000773642
90119285,20,MMC- Clayton,0,0,20.00374286,-0.001165506
90119577,96,MMC- Clayton,3,3,96.00274383,3.00387208
90119823,20,MMC- Clayton,1,5,19.99802601,5.003909089
90119848,6,MMC- Clayton,0,0,6.002321936,-0.00439752
90119859,3,MMC- Clayton,0,0,3.00489183,0.0001183
90119860,4,MMC- Clayton,1,25,3.996234509,25.00441177
90119901,11,MMC- Clayton,0,0,11.00385676,0.003627524
90119988,8,MMC- Clayton,0,0,7.995122069,0.003443679
90121871,10,MMC- Clayton,1,10,9.996034855,9.99864369
90122677,49,MMC- Clayton,1,2,48.99828441,1.999300921
90123243,1,MMC- Clayton,0,0,0.9980112,-0.004567772
90123249,15,MMC- Clayton,0,0,15.00116485,-0.000842845
90123309,3,MMC- Clayton,0,0,2.99680912,-0.002626983
90123339,26,MMC- Clayton,0,0,25.99987965,-0.002994478
90124438,48,MMC- Clayton,0,0,47.99575795,-0.000617286
90124446,10,MMC- Clayton,0,0,10.00128952,-0.004730841
90124447,14,MMC- Clayton,1,7,14.00004248,7.004926461
90124476,24,MMC- Clayton,0,0,23.99673098,0.003709765
90124487,3,MMC- Clayton,0,0,2.999663226,0.002332725
90124491,3,MMC- Clayton,0,0,3.003635991,-0.001451351
90124492,3,MMC- Clayton,0,0,3.000811136,-0.004946788
90124502,2,MMC- Clayton,0,0,2.000587929,0.001395164
90124505,21,MMC- Clayton,1,4,20.99783443,4.004044867
90124517,4,MMC- Clayton,0,0,4.002423455,-0.001621961
90124523,15,MMC- Clayton,0,0,14.99846218,-0.003860701
90124524,33,MMC- Clayton,0,0,32.99597093,0.003187314
90124526,41,MMC- Clayton,0,0,41.00117742,-0.001233779
90124543,4,MMC- Clayton,0,0,3.996252513,0.004456737
90124546,5,MMC- Clayton,0,0,4.996012304,0.001850487
90124556,16,MMC- Clayton,0,0,16.00264549,0.003010055
90124561,16,MMC- Clayton,0,0,15.99809634,-0.003107558
90124563,5,MMC- Clayton,0,0,4.996226846,-0.00328342
90124566,8,MMC- Clayton,0,0,8.004935521,-0.002922969
90124581,2,MMC- Clayton,0,0,2.003126853,-0.001940855
90124585,15,MMC- Clayton,0,0,15.0030114,0.000791696
90124609,63,MMC- Clayton,1,1,62.99694922,0.995902859
90124617,6,MMC- Clayton,0,0,6.00270909,0.002361146
90124621,37,MMC- Clayton,0,0,37.00405946,-0.003071587
90124633,5,MMC- Clayton,0,0,5.001600566,-0.001513278
90124637,6,MMC- Clayton,0,0,6.000666032,0.004451268
90124682,8,MMC- Clayton,0,0,7.998174168,-0.003945305
90124698,14,MMC- Clayton,0,0,14.00149656,-0.002346615
90124937,7,MMC- Clayton,0,0,6.998605686,0.000659831
90124938,3,MMC- Clayton,0,0,2.999752485,-0.004950486
90127264,4,MMC- Clayton,0,0,4.000030636,0.001956128
90127293,13,MMC- Clayton,0,0,12.99752351,0.001058741
90127352,2,MMC- Clayton,0,0,1.997720561,0.001261591
90127356,22,MMC- Clayton,0,0,22.0003849,-0.00245569
90127515,22,MMC- Clayton,0,0,22.00183797,0.003613904
90132178,3,MMC- Clayton,0,0,2.998359844,0.002701094
90136195,4,MMC- Clayton,0,0,4.004024177,-0.002266095
90136674,6,MMC- Clayton,0,0,5.995007124,0.000879102
90136682,7,MMC- Clayton,0,0,7.004992842,-0.001594536
90136838,27,MMC- Clayton,0,0,26.99562845,-0.004419476
90136845,1,MMC- Clayton,0,0,1.004945236,-0.001245379
90136849,11,MMC- Clayton,0,0,10.99791867,0.001125218
90136850,26,MMC- Clayton,0,0,26.00072607,-0.000329516
90137813,2,MMC- Clayton,0,0,2.004369934,-0.003686791
90138704,27,MMC- Clayton,0,0,27.00265668,-3.13979E-05
90138705,51,MMC- Clayton,0,0,50.99791938,0.001071764
90138707,1,MMC- Clayton,0,0,0.999325984,0.001955699
90140139,5,MMC- Clayton,0,0,4.997759725,0.004577285
90141235,6,MMC- Clayton,0,0,6.000971226,0.002615832
90141465,5,MMC- Clayton,0,0,4.999398628,-0.003442005
90141719,1,MMC- Clayton,0,0,1.00328403,0.002404048
90141884,11,MMC- Clayton,0,0,11.00431262,-0.003077179
90142519,38,MMC- Clayton,1,2,37.99934315,1.997640057
90142824,17,MMC- Clayton,1,5,17.00297593,5.001099638
90142841,4,MMC- Clayton,0,0,4.00104152,-0.004305494
90144405,99,MMC- Clayton,3,3,99.00338539,3.002951745
90144435,1,MMC- Clayton,0,0,0.995895308,-0.003846824
90144443,28,MMC- Clayton,1,3,27.99697278,2.998446966
90144607,8,MMC- Clayton,0,0,7.997470183,0.003293309
90144736,24,MMC- Clayton,0,0,23.99832315,-0.000552158
90144765,5,MMC- Clayton,0,0,4.996718423,-0.003780128
90144787,21,MMC- Clayton,0,0,21.00449517,0.001858539
90144878,22,MMC- Clayton,0,0,22.00462951,-0.003786003
90144901,17,MMC- Clayton,0,0,17.00492788,0.003836343
90144911,5,MMC- Clayton,1,20,4.996478103,20.00046905
90144951,5,MMC- Clayton,0,0,4.999607021,-0.004855339
90145024,4,MMC- Clayton,0,0,3.997898303,0.002173609
90145085,17,MMC- Clayton,0,0,17.00065268,-0.000932801
90145086,55,MMC- Clayton,1,1,55.00099589,0.99734837
90145218,19,MMC- Clayton,1,5,18.99929736,4.995237209
90145257,8,MMC- Clayton,0,0,7.999990524,-0.003959148
90145261,1,MMC- Clayton,0,0,1.00459663,0.002617954
90145292,6,MMC- Clayton,0,0,5.998524078,0.00405064
90145296,4,MMC- Clayton,0,0,4.002287122,0.003048349
90145307,11,MMC- Clayton,0,0,11.00162616,-0.001417074
90145390,34,MMC- Clayton,0,0,33.99909773,0.002101593
90145408,12,MMC- Clayton,0,0,12.00113335,-0.003210694
90145489,1,MMC- Clayton,0,0,0.99861317,0.003723698
90145549,25,MMC- Clayton,2,8,24.99568331,7.996540775
90145738,19,MMC- Clayton,0,0,18.99721941,-0.002238846
90145754,60,MMC- Clayton,2,3,60.00000669,3.002951259
90145901,46,MMC- Clayton,0,0,46.00027701,0.000787137
90146286,22,MMC- Clayton,0,0,21.99923817,0.00328699
90148355,14,MMC- Clayton,0,0,14.00326573,-0.002508586
90148809,3,MMC- Clayton,0,0,3.00463229,0.00116322
90149605,17,MMC- Clayton,0,0,17.00141149,-0.001080864
90150180,4,MMC- Clayton,1,25,3.996334993,24.99606486
90150775,2,MMC- Clayton,0,0,2.003623445,-0.000734988
90153189,6,MMC- Clayton,0,0,5.99533618,0.002693589
90153195,5,MMC- Clayton,0,0,5.000278355,0.002600731
90153448,1,MMC- Clayton,0,0,1.003631869,-0.004187308
90154175,31,MMC- Clayton,0,0,31.00192097,0.000391079
90155074,5,MMC- Clayton,0,0,4.996543427,0.000673826
90155188,67,MMC- Clayton,0,0,66.99530257,-0.003828909
90155200,32,MMC- Clayton,1,3,32.00400462,2.995928785
90157612,33,MMC- Clayton,1,3,32.99782853,2.998269142
90159236,4,MMC- Clayton,1,25,4.000220347,25.00088755
90160332,4,MMC- Clayton,0,0,4.000176017,-0.003564934
90160501,6,MMC- Clayton,0,0,6.004429691,-0.00236896
90160513,1,MMC- Clayton,0,0,1.004707301,-0.004058781
90160621,10,MMC- Clayton,0,0,9.998860244,-0.001735727
90160636,2,MMC- Clayton,0,0,2.004777356,0.002307007
90160699,3,MMC- Clayton,0,0,2.999963911,0.000849658
90161039,29,MMC- Clayton,0,0,28.99751801,-0.001307943
90161091,28,MMC- Clayton,0,0,27.99650463,-0.003695208
90161185,1,MMC- Clayton,0,0,1.004865297,-0.001711689
90161376,5,MMC- Clayton,0,0,5.000769688,-0.001791064
90161873,34,MMC- Clayton,0,0,33.99822496,0.00283539
90162077,21,MMC- Clayton,0,0,20.9977184,0.001977663
90162078,20,MMC- Clayton,0,0,19.99686744,-0.001117445
90162079,57,MMC- Clayton,1,1,57.00138166,0.999020973
90162080,5,MMC- Clayton,0,0,4.995875373,0.000407608
90162081,61,MMC- Clayton,0,0,60.99781288,0.003871701
90162082,11,MMC- Clayton,1,9,11.00454264,8.998259079
90162251,49,MMC- Clayton,0,0,48.99689207,0.002831664
90162252,46,MMC- Clayton,0,0,45.99762644,0.003778889
90162330,18,MMC- Clayton,0,0,17.99872628,0.003939343
90162599,47,MMC- Clayton,0,0,46.99549516,-0.001942754
90162759,31,MMC- Clayton,0,0,30.99682275,-0.000480635
90162896,33,MMC- Clayton,0,0,32.99687303,-0.004976312
90165262,32,MMC- Clayton,0,0,31.99709598,0.00174524
90166103,12,MMC- Clayton,1,8,12.00201834,7.997830371
90166170,28,MMC- Clayton,0,0,28.00419131,-0.001901
90166333,4,MMC- Clayton,0,0,4.004688541,-0.003645512
90166347,5,MMC- Clayton,0,0,4.998606026,-0.003069025
90000999,5,Dandenong,0,0,4.998604802,0.000778695
90002772,9,Dandenong,0,0,9.00170354,0.003324148
90003427,4,Dandenong,0,0,3.999847789,-0.000824444
90003514,1,Dandenong,0,0,1.001334324,-0.002608374
90003553,1,Dandenong,0,0,1.003024392,0.00362134
90003634,2,Dandenong,1,50,2.001855965,49.99737518
90003943,2,Dandenong,0,0,2.000086499,-0.004876806
90004058,2,Dandenong,0,0,2.001930777,-0.002390823
90004171,3,Dandenong,0,0,3.004166194,0.004340795
90004289,1,Dandenong,0,0,0.995875706,0.003396191
90004406,1,Dandenong,0,0,1.00278099,0.002448645
90004790,3,Dandenong,0,0,2.99527172,0.000825932
90005035,2,Dandenong,0,0,2.00416975,-0.002150773
90005065,1,Dandenong,0,0,0.997086231,-0.001760669
90005204,1,Dandenong,0,0,1.004370139,0.002001309
90007275,19,Dandenong,1,5,19.00179737,4.996054607
90008672,8,Dandenong,0,0,7.995489556,-0.003383821
90012659,1,Dandenong,0,0,0.997378256,-0.00241736
90013900,2,Dandenong,0,0,1.999193276,0.000577516
90015608,6,Dandenong,0,0,6.000176298,0.004765823
90015746,1,Dandenong,0,0,0.996675267,0.004111812
90016143,6,Dandenong,0,0,5.997479948,-0.003779748
90017559,2,Dandenong,0,0,2.002775154,-0.00305603
90018083,3,Dandenong,0,0,2.998069968,0.002825667
90020817,8,Dandenong,0,0,7.999871887,7.86115E-05
90021003,4,Dandenong,0,0,4.001842594,0.001025322
90022335,1,Dandenong,0,0,0.995557537,-0.00034353
90023171,1,Dandenong,0,0,1.001261615,0.000143891
90024223,9,Dandenong,0,0,8.996303948,-0.003558992
90025465,1,Dandenong,0,0,1.000274977,-0.003501046
90025727,3,Dandenong,1,33,2.999928608,33.00020497
90028087,2,Dandenong,0,0,1.996049833,-0.002117684
90028254,6,Dandenong,0,0,6.002377376,0.001123211
90029255,7,Dandenong,0,0,7.002337312,-0.003089676
90029388,3,Dandenong,0,0,2.998978342,0.004724544
90030552,3,Dandenong,0,0,2.995264805,-0.000410884
90033366,4,Dandenong,0,0,3.997137239,0.001675631
90033661,4,Dandenong,0,0,3.999612161,-0.001340845
90033774,4,Dandenong,0,0,3.995528181,0.004615201
90034329,2,Dandenong,0,0,1.995060265,-0.003801151
90035880,3,Dandenong,0,0,2.996182964,-0.000945154
90035983,14,Dandenong,2,14,13.99671311,14.00360282
90037850,2,Dandenong,0,0,1.996347168,-0.002783009
90039000,5,Dandenong,0,0,4.999574527,-0.001274033
90039551,2,Dandenong,0,0,2.003016351,-0.003072658
