Treating.Clinician,Number of Patients Seen,Number of Patients Seen Salbutamol,Proportion Salbutamol,Hospital,Salbutamol_Percentage
90053418,2,0,0%,MMC- Clayton,0
90053753,13,0,0%,MMC- Clayton,0
90056255,11,0,0%,MMC- Clayton,0
90057250,1,0,0%,MMC- Clayton,0
90057415,3,0,0%,MMC- Clayton,0
90058180,4,0,0%,MMC- Clayton,0
90058333,6,0,0%,MMC- Clayton,0
90059331,7,0,0%,MMC- Clayton,0
90059876,1,0,0%,MMC- Clayton,0
90060546,4,0,0%,MMC- Clayton,0
90060945,1,0,0%,MMC- Clayton,0
90061220,15,0,0%,MMC- Clayton,0
90062205,68,0,0%,MMC- Clayton,0
90066524,42,0,0%,MMC- Clayton,0
90067536,5,0,0%,MMC- Clayton,0
90071676,3,0,0%,MMC- Clayton,0
90071914,1,0,0%,MMC- Clayton,0
90074642,16,0,0%,MMC- Clayton,0
90075008,48,0,0%,MMC- Clayton,0
90075334,27,0,0%,MMC- Clayton,0
90075767,3,0,0%,MMC- Clayton,0
90075796,4,0,0%,MMC- Clayton,0
90076693,11,0,0%,MMC- Clayton,0
90076797,18,0,0%,MMC- Clayton,0
90077920,5,0,0%,MMC- Clayton,0
90078071,32,0,0%,MMC- Clayton,0
90078787,4,0,0%,MMC- Clayton,0
90079546,26,0,0%,MMC- Clayton,0
90080745,17,0,0%,MMC- Clayton,0
90081556,11,0,0%,MMC- Clayton,0
90081588,2,0,0%,MMC- Clayton,0
90081957,20,0,0%,MMC- Clayton,0
90082317,15,0,0%,MMC- Clayton,0
90082515,7,0,0%,MMC- Clayton,0
90082606,3,0,0%,MMC- Clayton,0
90082724,8,0,0%,MMC- Clayton,0
90083027,19,0,0%,MMC- Clayton,0
90083266,38,0,0%,MMC- Clayton,0
90085043,3,0,0%,MMC- Clayton,0
90086088,4,0,0%,MMC- Clayton,0
90086232,5,0,0%,MMC- Clayton,0
90088695,3,0,0%,MMC- Clayton,0
90093120,18,0,0%,MMC- Clayton,0
90093516,6,0,0%,MMC- Clayton,0
90094427,39,0,0%,MMC- Clayton,0
90096616,14,0,0%,MMC- Clayton,0
90096638,7,0,0%,MMC- Clayton,0
90097777,2,0,0%,MMC- Clayton,0
90097823,13,0,0%,MMC- Clayton,0
90098181,38,0,0%,MMC- Clayton,0
90098744,39,0,0%,MMC- Clayton,0
90098792,6,0,0%,MMC- Clayton,0
90099597,1,0,0%,MMC- Clayton,0
90099752,26,0,0%,MMC- Clayton,0
90100582,26,0,0%,MMC- Clayton,0
90101121,3,0,0%,MMC- Clayton,0
90101122,14,0,0%,MMC- Clayton,0
90101274,55,0,0%,MMC- Clayton,0
90102464,1,0,0%,MMC- Clayton,0
90102876,27,0,0%,MMC- Clayton,0
90103211,1,0,0%,MMC- Clayton,0
90104966,2,0,0%,MMC- Clayton,0
90104983,8,0,0%,MMC- Clayton,0
90107514,29,0,0%,MMC- Clayton,0
90108333,14,0,0%,MMC- Clayton,0
90108552,4,0,0%,MMC- Clayton,0
90109179,6,0,0%,MMC- Clayton,0
90110663,2,0,0%,MMC- Clayton,0
90111104,1,0,0%,MMC- Clayton,0
90111201,11,0,0%,MMC- Clayton,0
90111349,1,0,0%,MMC- Clayton,0
90111526,2,0,0%,MMC- Clayton,0
90111844,10,0,0%,MMC- Clayton,0
90112537,1,0,0%,MMC- Clayton,0
90113108,14,0,0%,MMC- Clayton,0
90113497,17,0,0%,MMC- Clayton,0
90114450,5,0,0%,MMC- Clayton,0
90115768,4,0,0%,MMC- Clayton,0
90116410,17,0,0%,MMC- Clayton,0
90117588,13,0,0%,MMC- Clayton,0
90117635,1,0,0%,MMC- Clayton,0
90118416,14,0,0%,MMC- Clayton,0
90119011,1,0,0%,MMC- Clayton,0
90119285,20,0,0%,MMC- Clayton,0
90119848,6,0,0%,MMC- Clayton,0
90119859,3,0,0%,MMC- Clayton,0
90119901,11,0,0%,MMC- Clayton,0
90119988,8,0,0%,MMC- Clayton,0
90123243,1,0,0%,MMC- Clayton,0
90123249,15,0,0%,MMC- Clayton,0
90123309,3,0,0%,MMC- Clayton,0
90123339,26,0,0%,MMC- Clayton,0
90124438,48,0,0%,MMC- Clayton,0
90124446,10,0,0%,MMC- Clayton,0
90124476,24,0,0%,MMC- Clayton,0
90124487,3,0,0%,MMC- Clayton,0
90124491,3,0,0%,MMC- Clayton,0
90124492,3,0,0%,MMC- Clayton,0
90124502,2,0,0%,MMC- Clayton,0
90124517,4,0,0%,MMC- Clayton,0
90124523,15,0,0%,MMC- Clayton,0
90124524,33,0,0%,MMC- Clayton,0
90124526,41,0,0%,MMC- Clayton,0
90124543,4,0,0%,MMC- Clayton,0
90124546,5,0,0%,MMC- Clayton,0
90124556,16,0,0%,MMC- Clayton,0
90124561,16,0,0%,MMC- Clayton,0
90124563,5,0,0%,MMC- Clayton,0
90124566,8,0,0%,MMC- Clayton,0
90124581,2,0,0%,MMC- Clayton,0
90124585,15,0,0%,MMC- Clayton,0
90124617,6,0,0%,MMC- Clayton,0
90124621,37,0,0%,MMC- Clayton,0
90124633,5,0,0%,MMC- Clayton,0
90124637,6,0,0%,MMC- Clayton,0
90124682,8,0,0%,MMC- Clayton,0
90124698,14,0,0%,MMC- Clayton,0
90124937,7,0,0%,MMC- Clayton,0
90124938,3,0,0%,MMC- Clayton,0
90127264,4,0,0%,MMC- Clayton,0
90127293,13,0,0%,MMC- Clayton,0
90127352,2,0,0%,MMC- Clayton,0
90127356,22,0,0%,MMC- Clayton,0
90127515,22,0,0%,MMC- Clayton,0
90132178,3,0,0%,MMC- Clayton,0
90136195,4,0,0%,MMC- Clayton,0
90136674,6,0,0%,MMC- Clayton,0
90136682,7,0,0%,MMC- Clayton,0
90136838,27,0,0%,MMC- Clayton,0
90136845,1,0,0%,MMC- Clayton,0
90136849,11,0,0%,MMC- Clayton,0
90136850,26,0,0%,MMC- Clayton,0
90137813,2,0,0%,MMC- Clayton,0
90138704,27,0,0%,MMC- Clayton,0
90138705,51,0,0%,MMC- Clayton,0
90138707,1,0,0%,MMC- Clayton,0
90140139,5,0,0%,MMC- Clayton,0
90141235,6,0,0%,MMC- Clayton,0
90141465,5,0,0%,MMC- Clayton,0
90141719,1,0,0%,MMC- Clayton,0
90141884,11,0,0%,MMC- Clayton,0
90142841,4,0,0%,MMC- Clayton,0
90144435,1,0,0%,MMC- Clayton,0
90144607,8,0,0%,MMC- Clayton,0
90144736,24,0,0%,MMC- Clayton,0
90144765,5,0,0%,MMC- Clayton,0
90144787,21,0,0%,MMC- Clayton,0
90144878,22,0,0%,MMC- Clayton,0
90144901,17,0,0%,MMC- Clayton,0
90144951,5,0,0%,MMC- Clayton,0
90145024,4,0,0%,MMC- Clayton,0
90145085,17,0,0%,MMC- Clayton,0
90145257,8,0,0%,MMC- Clayton,0
90145261,1,0,0%,MMC- Clayton,0
90145292,6,0,0%,MMC- Clayton,0
90145296,4,0,0%,MMC- Clayton,0
90145307,11,0,0%,MMC- Clayton,0
90145390,34,0,0%,MMC- Clayton,0
90145408,12,0,0%,MMC- Clayton,0
90145489,1,0,0%,MMC- Clayton,0
90145738,19,0,0%,MMC- Clayton,0
90145901,46,0,0%,MMC- Clayton,0
90146286,22,0,0%,MMC- Clayton,0
90148355,14,0,0%,MMC- Clayton,0
90148809,3,0,0%,MMC- Clayton,0
90149605,17,0,0%,MMC- Clayton,0
90150775,2,0,0%,MMC- Clayton,0
90153189,6,0,0%,MMC- Clayton,0
90153195,5,0,0%,MMC- Clayton,0
90153448,1,0,0%,MMC- Clayton,0
90154175,31,0,0%,MMC- Clayton,0
90155074,5,0,0%,MMC- Clayton,0
90155188,67,0,0%,MMC- Clayton,0
90160332,4,0,0%,MMC- Clayton,0
90160501,6,0,0%,MMC- Clayton,0
90160513,1,0,0%,MMC- Clayton,0
90160621,10,0,0%,MMC- Clayton,0
