Treating.Clinician,Number_of_patient_Seen,Number_of_patient_Seen_with_prednisolone,prednisolone_proportion,Hospital,prednisolone_percentage,jitter_Number_of_patient_Seen,jitter_prednisolone_proportion,jitter_prednisolone_percentage
90127293,13,0,0,MMC - Clayton,0,13.00523721,0.006363123,0.63631232
90127352,2,0,0,MMC - Clayton,0,2.001018203,0.002054466,0.205446636
90127356,22,0,0,MMC - Clayton,0,21.99874868,0.005529932,0.552993214
90127515,22,0,0,MMC - Clayton,0,22.00853083,0.006768984,0.676898401
90132178,3,0,0,MMC - Clayton,0,3.004890938,0.007784329,0.77843293
90136195,4,0,0,MMC - Clayton,0,3.991276775,0.007402607,0.740260723
90136674,6,0,0,MMC - Clayton,0,6.003823965,0.004261359,0.426135876
90136682,7,0,0,MMC - Clayton,0,6.991787567,-0.008477807,-0.847780737
90136838,27,0,0,MMC - Clayton,0,27.0057842,0.006321485,0.63214853
90136845,1,0,0,MMC - Clayton,0,0.991662437,0.001958221,0.195822066
90136849,11,0,0,MMC - Clayton,0,11.00540477,-0.00850948,-0.850948041
90136850,26,0,0,MMC - Clayton,0,26.00838144,-0.003021643,-0.30216435
90137813,2,0,0,MMC - Clayton,0,2.000566427,-0.007340638,-0.734063759
90138704,27,0,0,MMC - Clayton,0,27.00981559,0.003788465,0.378846478
90138705,51,0,0,MMC - Clayton,0,50.99089145,0.007929047,0.79290472
90138707,1,0,0,MMC - Clayton,0,0.99628762,-0.009438823,-0.943882312
90140139,5,0,0,MMC - Clayton,0,4.993806834,-0.007070044,-0.707004428
90141235,6,0,0,MMC - Clayton,0,6.003814862,0.00398148,0.398147964
90141465,5,0,0,MMC - Clayton,0,4.994615808,-0.00579669,-0.579668952
90141719,1,0,0,MMC - Clayton,0,0.992393251,0.009780867,0.978086717
90141884,11,0,0,MMC - Clayton,0,11.00980899,0.002885145,0.288514537
90142519,38,0,0,MMC - Clayton,0,38.00535262,-0.007316159,-0.731615855
90142824,17,0,0,MMC - Clayton,0,16.99646379,0.007624994,0.76249942
90142841,4,0,0,MMC - Clayton,0,4.005794691,0.009036882,0.903688232
90144405,99,0,0,MMC - Clayton,0,99.00311727,-0.006623751,-0.662375099
90144435,1,0,0,MMC - Clayton,0,0.994872302,0.002792331,0.27923312
90144443,28,0,0,MMC - Clayton,0,28.0046352,-0.000449309,-0.0449309
90144607,8,0,0,MMC - Clayton,0,8.003130909,0.00720189,0.720189041
90144736,24,0,0,MMC - Clayton,0,24.00482203,0.002549851,0.254985144
90144765,5,0,0,MMC - Clayton,0,5.000853678,0.005481613,0.548161251
90144787,21,0,0,MMC - Clayton,0,20.99958654,-0.004568033,-0.456803317
90144878,22,0,0,MMC - Clayton,0,22.00928224,-0.007930735,-0.79307354
90144901,17,0,0,MMC - Clayton,0,17.00198899,0.007653931,0.765393076
90144911,5,1,0.2,MMC - Clayton,20,4.998431062,0.208265845,20.82658455
90144951,5,0,0,MMC - Clayton,0,5.006782407,0.002504936,0.250493567
90145024,4,0,0,MMC - Clayton,0,3.991570843,-0.006113343,-0.611334327
90145085,17,0,0,MMC - Clayton,0,16.99153537,0.004436506,0.443650556
90145086,55,0,0,MMC - Clayton,0,55.00241071,-0.002892423,-0.289242345
90145218,19,0,0,MMC - Clayton,0,19.00149594,0.005313842,0.531384168
90145257,8,0,0,MMC - Clayton,0,7.992793923,0.003582747,0.358274723
90145261,1,0,0,MMC - Clayton,0,0.998120811,-0.006247187,-0.624718682
90145292,6,0,0,MMC - Clayton,0,6.004922473,-0.003106159,-0.310615859
90145296,4,0,0,MMC - Clayton,0,3.997172331,-0.002766529,-0.276652929
90145307,11,0,0,MMC - Clayton,0,10.99394002,-0.00769458,-0.76945796
90145390,34,0,0,MMC - Clayton,0,33.9976131,0.003511118,0.351111762
90145408,12,0,0,MMC - Clayton,0,11.99569302,-0.002834327,-0.283432719
90145489,1,0,0,MMC - Clayton,0,0.990455396,0.002223449,0.222344878
90145549,25,0,0,MMC - Clayton,0,25.00451274,0.00189358,0.189357951
90145738,19,0,0,MMC - Clayton,0,19.00991954,0.006323422,0.632342214
90145754,60,0,0,MMC - Clayton,0,60.00379021,0.009420628,0.942062849
90145901,46,0,0,MMC - Clayton,0,46.00199329,0.001980487,0.198048714
90146286,22,0,0,MMC - Clayton,0,22.00499285,0.006121057,0.612105696
90148355,14,0,0,MMC - Clayton,0,13.99801616,0.007914111,0.791411114
90148809,3,0,0,MMC - Clayton,0,3.005686289,-0.003521653,-0.352165323
90149605,17,0,0,MMC - Clayton,0,17.00564273,-0.001987085,-0.198708547
90150180,4,0,0,MMC - Clayton,0,3.996350218,0.007703415,0.770341464
90150775,2,0,0,MMC - Clayton,0,1.996853623,0.000475254,0.047525361
90153189,6,0,0,MMC - Clayton,0,6.005143996,0.000418123,0.041812252
90153195,5,0,0,MMC - Clayton,0,5.000454924,0.002353126,0.235312594
90153448,1,0,0,MMC - Clayton,0,1.008128329,-0.008152043,-0.815204329
90154175,31,0,0,MMC - Clayton,0,30.99219117,0.009776724,0.977672394
90155074,5,0,0,MMC - Clayton,0,4.999086638,-0.009562142,-0.956214151
90155188,67,0,0,MMC - Clayton,0,67.00438369,0.00360399,0.360398956
90155200,32,0,0,MMC - Clayton,0,31.99199909,0.006196936,0.619693599
90157612,33,0,0,MMC - Clayton,0,33.00141467,-0.00224883,-0.224882964
90159236,4,0,0,MMC - Clayton,0,3.990730463,0.006460791,0.646079062
90160332,4,0,0,MMC - Clayton,0,4.002553146,0.00947623,0.947623011
90160501,6,0,0,MMC - Clayton,0,5.990200878,-0.006705166,-0.670516581
90160513,1,0,0,MMC - Clayton,0,0.991983539,0.00834164,0.834164031
90160621,10,0,0,MMC - Clayton,0,9.9976698,-1.50464E-05,-0.001504643
90160636,2,0,0,MMC - Clayton,0,1.991508834,0.002115075,0.211507495
90160699,3,0,0,MMC - Clayton,0,2.999302801,-0.004431935,-0.443193454
90161039,29,0,0,MMC - Clayton,0,28.99133744,0.006425609,0.642560899
90161091,28,0,0,MMC - Clayton,0,27.99629377,-0.004612935,-0.46129349
90161185,1,0,0,MMC - Clayton,0,1.005348979,-0.000239965,-0.023996491
90161376,5,0,0,MMC - Clayton,0,4.998296507,-0.00642264,-0.642264012
90161873,34,0,0,MMC - Clayton,0,34.00364795,-0.004882675,-0.488267502
90162077,21,0,0,MMC - Clayton,0,20.99970443,-0.004588603,-0.458860256
90162078,20,0,0,MMC - Clayton,0,20.00415552,0.001291384,0.129138415
90162079,57,0,0,MMC - Clayton,0,56.99728751,-0.00523555,-0.523555038
90162080,5,0,0,MMC - Clayton,0,4.999392983,0.001572358,0.157235836
90162081,61,0,0,MMC - Clayton,0,61.00403672,0.0042698,0.426980021
90162082,11,0,0,MMC - Clayton,0,10.99055348,0.006428416,0.642841641
90162251,49,0,0,MMC - Clayton,0,48.990016,0.007978993,0.797899348
90162252,46,0,0,MMC - Clayton,0,45.99750146,-0.001045071,-0.104507069
90162330,18,0,0,MMC - Clayton,0,17.99780649,0.008275839,0.827583915
90162599,47,0,0,MMC - Clayton,0,46.99027512,0.003756457,0.375645689
90162759,31,0,0,MMC - Clayton,0,31.00636225,0.004987689,0.498768888
90162896,33,0,0,MMC - Clayton,0,33.00845737,0.002176382,0.217638159
90165262,32,0,0,MMC - Clayton,0,31.99600114,0.009518278,0.951827769
90166103,12,0,0,MMC - Clayton,0,12.00619317,-0.004637849,-0.463784885
90166170,28,0,0,MMC - Clayton,0,27.99502534,-0.008431817,-0.843181696
90166333,4,0,0,MMC - Clayton,0,4.00715395,0.006606904,0.660690397
90166347,5,0,0,MMC - Clayton,0,5.004314261,-0.007614615,-0.76146154
