Treating.Clinician,Number_of_patient_Seen,Number_of_patient_Seen_with_prednisolone,prednisolone_proportion,Hospital,prednisolone_percentage,jitter_Number_of_patient_Seen,jitter_prednisolone_proportion,jitter_prednisolone_percentage
90160701,1,0,0,Dandenong,0,0.993981426,-0.006977812,-0.697781224
90160968,1,0,0,Dandenong,0,1.006450382,-0.005193774,-0.519377414
90161059,2,1,0.5,Dandenong,50,1.999721598,0.493050739,49.30507394
90161089,2,0,0,Dandenong,0,2.00267463,0.009298478,0.92984778
90162229,1,0,0,Dandenong,0,0.991843927,0.000934092,0.093409186
90162772,2,0,0,Dandenong,0,1.993862907,0.001809844,0.180984438
90164142,2,0,0,Dandenong,0,1.999729894,-0.002290988,-0.229098758
90165844,2,0,0,Dandenong,0,1.991870935,-0.009800232,-0.980023218
90000541,4,0,0,Casey,0,3.99004827,0.005770104,0.577010415
90000926,4,0,0,Casey,0,3.991070248,-0.001767778,-0.176777833
90000999,5,0,0,Casey,0,5.006905186,-0.002091188,-0.209118754
90001660,2,0,0,Casey,0,1.995676675,-0.001984629,-0.198462921
90002354,2,0,0,Casey,0,1.999391822,-0.00291328,-0.291327953
90002776,7,0,0,Casey,0,6.997970174,0.00597847,0.597846989
90003149,14,1,0.07,Casey,7,13.99240645,0.065729842,6.572984214
90003195,2,0,0,Casey,0,2.001547799,0.008477462,0.847746196
90003244,4,0,0,Casey,0,4.003811308,0.003488075,0.348807475
90003259,1,0,0,Casey,0,1.004317867,0.009233955,0.923395504
90003309,1,0,0,Casey,0,0.99440092,0.008270602,0.82706019
90004066,3,0,0,Casey,0,2.995709681,-0.004257099,-0.42570995
90004155,1,0,0,Casey,0,0.99022591,0.005345367,0.534536676
90004171,3,0,0,Casey,0,2.993749755,-0.006338868,-0.633886794
90004178,1,0,0,Casey,0,1.009677287,-0.00486398,-0.486397952
90004416,2,0,0,Casey,0,2.004235081,0.007003081,0.700308086
90004543,1,0,0,Casey,0,1.007173942,-0.002485743,-0.248574263
90004705,1,0,0,Casey,0,0.99333192,-0.009789247,-0.978924672
90004845,3,0,0,Casey,0,3.007949492,0.006419483,0.64194829
90004891,1,0,0,Casey,0,0.993021674,0.000506802,0.050680197
90004893,6,0,0,Casey,0,6.005277567,0.000252218,0.025221812
90005028,2,0,0,Casey,0,1.996173126,0.002665438,0.266543783
90005109,5,0,0,Casey,0,5.000629321,-0.009078084,-0.907808391
90005110,1,0,0,Casey,0,1.009260995,-0.008216001,-0.82160012
90005147,1,0,0,Casey,0,1.00316017,0.008184912,0.818491179
90005353,2,0,0,Casey,0,1.992978728,0.009061799,0.906179859
90005369,7,0,0,Casey,0,7.002483785,-0.004997956,-0.499795594
90006510,3,0,0,Casey,0,3.000945245,0.003004996,0.30049959
90007275,19,0,0,Casey,0,19.00536854,0.001653416,0.165341553
90007425,4,0,0,Casey,0,4.000099947,-0.005341946,-0.534194592
90007788,1,0,0,Casey,0,1.006751626,0.002557589,0.255758882
90008018,12,0,0,Casey,0,12.00339254,-0.004821678,-0.482167805
90008486,7,1,0.14,Casey,14,7.004053245,0.149480856,14.94808562
90009507,5,0,0,Casey,0,4.990363938,-0.007069154,-0.706915442
90011578,27,2,0.07,Casey,7,26.99117659,0.07384716,7.384716013
90013900,28,0,0,Casey,0,27.9912173,0.006609697,0.660969688
90014011,1,0,0,Casey,0,1.008775618,-0.007754121,-0.775412126
90014727,4,1,0.25,Casey,25,4.004765577,0.254437198,25.44371981
90015608,3,0,0,Casey,0,3.00529536,0.004966976,0.496697647
90017672,7,0,0,Casey,0,7.002451976,-0.001329517,-0.132951674
90018068,23,0,0,Casey,0,22.99743999,5.8921E-05,0.005892096
90018083,6,0,0,Casey,0,5.993393171,0.008787441,0.878744083
90018863,18,0,0,Casey,0,17.99889512,0.009267723,0.926772336
90022106,1,0,0,Casey,0,0.996550705,-0.00900093,-0.900093033
90022335,3,1,0.33,Casey,33,2.996701013,0.333583974,33.35839744
90024223,19,1,0.05,Casey,5,19.00388941,0.041082827,4.108282702
90024716,6,0,0,Casey,0,5.990794176,-0.002476588,-0.247658754
90027194,1,0,0,Casey,0,0.995712131,-0.006930184,-0.693018379
90028087,6,0,0,Casey,0,6.003205639,0.004769181,0.476918075
90029255,1,0,0,Casey,0,1.008977335,-0.001953959,-0.195395936
90031199,4,0,0,Casey,0,3.995097871,0.000937105,0.093710477
90032676,16,0,0,Casey,0,16.00758731,0.002319771,0.231977066
90033661,3,0,0,Casey,0,2.999443342,-0.008158698,-0.81586978
90033803,1,0,0,Casey,0,1.000445946,-0.000154972,-0.015497244
90034785,25,0,0,Casey,0,24.9927518,0.005808272,0.580827247
90034958,1,0,0,Casey,0,1.000770376,-0.004884016,-0.488401573
90035140,3,0,0,Casey,0,3.005114065,0.001937785,0.193778501
90038386,8,0,0,Casey,0,7.998459794,0.0026197,0.26197002
90039000,9,0,0,Casey,0,9.003412747,0.005972239,0.597223876
90039551,12,1,0.08,Casey,8,11.99060311,0.073435455,7.343545479
90039776,3,0,0,Casey,0,3.004701491,-0.005869871,-0.586987051
90040881,7,0,0,Casey,0,6.994212396,-0.001386014,-0.138601374
90041374,4,0,0,Casey,0,4.000013229,-0.009223215,-0.922321532
90043059,3,0,0,Casey,0,3.004264516,0.007219821,0.721982113
90043212,3,0,0,Casey,0,3.008353715,0.007271329,0.727132858
90043378,5,0,0,Casey,0,4.994874095,-0.001182426,-0.118242587
90043759,17,1,0.06,Casey,6,17.00315695,0.062471034,6.247103415
90044135,53,1,0.02,Casey,2,52.99294748,0.026796272,2.679627211
90044868,13,0,0,Casey,0,13.00837033,-0.006191248,-0.619124758
90045178,1,1,1,Casey,100,1.004388673,1.00772765,100.772765
90045480,5,1,0.2,Casey,20,5.00388788,0.208529982,20.85299815
90046308,30,1,0.03,Casey,3,29.99812471,0.024057481,2.405748112
90046416,25,0,0,Casey,0,25.00620058,-0.008927234,-0.892723379
90047604,2,0,0,Casey,0,1.995560428,0.00922859,0.922858959
90048709,17,0,0,Casey,0,16.9972182,-0.009034691,-0.903469119
90052237,1,0,0,Casey,0,1.000136573,-0.001621748,-0.162174848
90052753,4,0,0,Casey,0,4.009893459,-0.004182713,-0.418271258
90053104,16,0,0,Casey,0,16.00605129,-0.000595335,-0.059533473
90053409,30,0,0,Casey,0,29.99583091,0.002356832,0.235683166
90053418,2,0,0,Casey,0,2.006747514,0.007624484,0.762448406
90053715,20,0,0,Casey,0,20.00180856,-0.002381168,-0.238116827
90054690,17,1,0.06,Casey,6,16.99547018,0.058193531,5.819353068
90055388,4,0,0,Casey,0,3.990282203,0.007370938,0.73709379
90056621,14,0,0,Casey,0,14.00818462,-0.00354664,-0.354664001
90056792,15,2,0.13,Casey,13,15.00664855,0.125584812,12.55848118
90057340,1,0,0,Casey,0,0.999653976,-0.005410653,-0.541065331
90057415,5,0,0,Casey,0,4.998545199,-0.001373586,-0.137358647
90059584,5,0,0,Casey,0,5.006100537,-0.001946152,-0.194615227
90060746,11,1,0.09,Casey,9,10.99343592,0.084517652,8.451765173
90060945,1,0,0,Casey,0,0.996458878,0.001378129,0.137812929
90061220,7,0,0,Casey,0,7.001808824,-0.002539045,-0.253904529
90063200,20,0,0,Casey,0,19.99211557,0.006057874,0.605787352
90064512,19,0,0,Casey,0,19.00599764,0.004992156,0.499215623
90068451,1,0,0,Casey,0,1.008588559,-0.005907506,-0.59075064
90069969,14,1,0.07,Casey,7,14.001392,0.062717949,6.271794909
90070899,9,1,0.11,Casey,11,9.005606354,0.102753864,10.27538645
90071662,20,0,0,Casey,0,20.00627592,0.003918464,0.391846404
90071676,5,1,0.2,Casey,20,4.999829846,0.193867962,19.38679615
90071867,2,0,0,Casey,0,2.002132041,0.004129378,0.412937815
90071914,5,0,0,Casey,0,5.005710628,0.00723581,0.723580978
90072053,11,0,0,Casey,0,11.0000226,-0.004205712,-0.420571225
90074347,16,1,0.06,Casey,6,15.99250354,0.052190337,5.219033735
90074963,14,6,0.43,Casey,43,13.99936093,0.428566501,42.85665014
90075767,19,0,0,Casey,0,18.99707325,-0.009512528,-0.951252795
90076316,11,0,0,Casey,0,10.99263509,0.00062016,0.062016024
90077628,16,1,0.06,Casey,6,16.00203265,0.068914115,6.891411528
90078140,5,0,0,Casey,0,5.008466418,0.005032592,0.503259162
90078263,8,0,0,Casey,0,8.002195479,-0.002679912,-0.267991154
90078814,6,0,0,Casey,0,5.990840416,-0.006386104,-0.638610426
90079400,1,0,0,Casey,0,1.005690596,-0.001054688,-0.105468799
90079929,6,0,0,Casey,0,6.00099775,0.008034799,0.803479889
90081957,3,0,0,Casey,0,2.997527338,0.00238922,0.238921967
90082515,25,0,0,Casey,0,24.99729644,-1.31171E-05,-0.001311711
90082524,2,0,0,Casey,0,1.991687063,-0.009255182,-0.925518185
90082606,1,0,0,Casey,0,1.000202066,-0.009742523,-0.974252277
90082724,21,0,0,Casey,0,21.00001385,-0.001406264,-0.140626399
90083027,15,0,0,Casey,0,14.99012149,-0.00725257,-0.725257033
90083180,12,0,0,Casey,0,12.00517734,0.007957417,0.795741675
90085012,4,0,0,Casey,0,3.998720685,-0.002112935,-0.2112935
90085693,1,0,0,Casey,0,1.002458143,-0.008408122,-0.840812172
90085715,5,0,0,Casey,0,4.992756651,0.005968915,0.596891468
90085963,8,0,0,Casey,0,7.990829444,0.001022299,0.10222994
90086136,71,4,0.06,Casey,6,71.00883708,0.067738717,6.773871747
90086511,21,0,0,Casey,0,21.00517445,-0.006454281,-0.645428123
90088199,15,0,0,Casey,0,15.00856073,-0.002358816,-0.235881553
90089123,44,0,0,Casey,0,44.00051809,-0.00068982,-0.068982011
90089947,13,0,0,Casey,0,13.0001547,-0.003935646,-0.393564594
90089975,7,0,0,Casey,0,6.990349238,-0.008157677,-0.815767699
90090296,7,0,0,Casey,0,7.006877341,0.00255343,0.255343035
90090681,10,1,0.1,Casey,10,10.00342651,0.096656313,9.665631263
90093190,5,0,0,Casey,0,5.004026751,-0.005631122,-0.563112184
90094007,16,0,0,Casey,0,15.99620908,0.00924292,0.92429204
90094590,3,0,0,Casey,0,2.990597955,0.005737648,0.573764813
90094829,2,0,0,Casey,0,2.007039839,0.009178965,0.917896466
90095252,24,0,0,Casey,0,24.00913027,-0.000482759,-0.048275924
90097823,12,0,0,Casey,0,11.9987063,-0.00780932,-0.780932015
90098181,2,0,0,Casey,0,2.008367396,0.009757953,0.975795296
90098405,7,0,0,Casey,0,7.00675319,0.009885722,0.98857222
90098753,26,1,0.04,Casey,4,26.00788648,0.04167212,4.167211977
90099027,12,0,0,Casey,0,12.00057077,-0.005005047,-0.500504735
90100013,11,0,0,Casey,0,11.00651672,0.001575413,0.157541333
90101274,33,2,0.06,Casey,6,33.00857066,0.068826833,6.882683265
90102895,2,0,0,Casey,0,2.004747805,-0.002933945,-0.293394485
90103318,52,2,0.04,Casey,4,52.00830724,0.039910096,3.991009562
90104011,17,0,0,Casey,0,17.00077417,0.008308928,0.830892809
90104797,5,0,0,Casey,0,4.994229368,-0.005503915,-0.550391522
90104983,3,0,0,Casey,0,3.002038919,0.001820601,0.182060086
90104988,2,0,0,Casey,0,1.990877172,-0.006701037,-0.670103734
90105952,5,0,0,Casey,0,5.001855076,-0.002717544,-0.271754378
90107017,1,0,0,Casey,0,0.992117689,0.009311332,0.931133193
90109179,7,0,0,Casey,0,6.990094778,-0.004207536,-0.420753553
90109536,4,0,0,Casey,0,3.992484126,-0.008485845,-0.84858453
90111143,1,0,0,Casey,0,1.006674096,0.007272526,0.727252595
90111234,1,0,0,Casey,0,1.007568711,-0.008643306,-0.864330564
90111256,2,0,0,Casey,0,1.991519747,0.00272149,0.272148996
90111258,2,0,0,Casey,0,1.995637049,-0.008837203,-0.883720291
90111265,3,0,0,Casey,0,3.008328348,0.007132932,0.713293198
90111320,3,0,0,Casey,0,2.993749749,-0.009763582,-0.976358159
90112083,4,0,0,Casey,0,3.993128343,0.007857688,0.785768829
90113108,1,0,0,Casey,0,1.006337646,-0.001594792,-0.159479156
90113883,23,0,0,Casey,0,22.99598155,-0.003631367,-0.363136742
90114206,2,0,0,Casey,0,1.993183013,0.008519235,0.851923488
90115768,3,0,0,Casey,0,2.997732049,-0.009978723,-0.997872258
90116155,6,0,0,Casey,0,6.004768511,0.009202664,0.920266415
90117588,13,0,0,Casey,0,12.99222172,-0.00847582,-0.847581967
90117635,5,0,0,Casey,0,5.005723928,0.007489358,0.748935792
90118132,9,0,0,Casey,0,8.993708669,-0.008793591,-0.879359137
90119071,11,0,0,Casey,0,10.99533752,-0.006936848,-0.693684766
90119715,4,0,0,Casey,0,3.996732726,0.006299135,0.629913503
90119742,11,0,0,Casey,0,10.99602337,0.007067749,0.706774894
90119752,1,0,0,Casey,0,0.997107745,0.009235124,0.923512419
90119860,7,0,0,Casey,0,7.002588321,-0.004944795,-0.494479539
90119988,7,0,0,Casey,0,7.003420832,-0.009082743,-0.908274314
90122677,6,0,0,Casey,0,5.993065316,-0.004821132,-0.482113211
90123231,20,1,0.05,Casey,5,19.99914165,0.042462512,4.246251178
90123234,25,1,0.04,Casey,4,24.99773265,0.043021623,4.30216232
90123243,5,0,0,Casey,0,5.002022419,-0.005945224,-0.594522423
90123244,3,0,0,Casey,0,3.007992702,-0.004436045,-0.443604536
90123255,3,0,0,Casey,0,3.007525743,-0.000869474,-0.086947406
90123258,11,0,0,Casey,0,11.0046963,0.003285591,0.328559082
90123261,3,0,0,Casey,0,3.000636849,-0.003992596,-0.399259593
90123262,12,0,0,Casey,0,12.00806878,0.005898835,0.589883526
90123265,16,0,0,Casey,0,16.00474731,0.006976395,0.6976395
90123269,1,0,0,Casey,0,0.997438668,-0.009644929,-0.964492896
90123274,28,0,0,Casey,0,27.99981588,-0.003344261,-0.334426141
90123276,1,0,0,Casey,0,1.007206416,0.005219103,0.521910298
90123277,1,0,0,Casey,0,1.000905506,-5.80944E-05,-0.005809438
90123284,5,0,0,Casey,0,4.990012609,-0.005679682,-0.567968176
90123291,2,0,0,Casey,0,2.00154387,-0.001705059,-0.170505894
90123295,17,1,0.06,Casey,6,16.99841432,0.057671681,5.767168088
90123296,4,0,0,Casey,0,3.997904766,0.007756429,0.775642948
90123301,6,0,0,Casey,0,5.99557046,-0.009823419,-0.982341914
90123307,1,0,0,Casey,0,1.004008398,0.008486128,0.84861281
90123312,8,0,0,Casey,0,8.00026704,-0.009618204,-0.961820385
90123315,1,0,0,Casey,0,1.005495902,-0.007580515,-0.758051539
90123323,4,0,0,Casey,0,3.994987342,-0.002797774,-0.279777441
90123332,1,0,0,Casey,0,0.99088622,-0.009857488,-0.985748753
90123335,2,0,0,Casey,0,2.004663688,0.006899952,0.689995177
