Treating.Clinician,total,Hospital,target,percentage,jitter_total,jitter_percentage
90101121,3,MMC- Clayton,0,0,2.995427643,-0.002863809
90101122,14,MMC- Clayton,0,0,13.99585321,0.003165641
90101274,55,MMC- Clayton,1,1,54.99812223,0.996504167
90102464,1,MMC- Clayton,0,0,0.99817324,0.004801622
90102876,27,MMC- Clayton,1,3,27.00317685,2.998568303
90103211,1,MMC- Clayton,0,0,1.002015038,-0.000807418
90103318,5,MMC- Clayton,1,20,5.002689834,19.99664816
90104966,2,MMC- Clayton,0,0,2.000210765,-0.004501431
90104983,8,MMC- Clayton,0,0,7.998356401,0.004631963
90107514,29,MMC- Clayton,6,20,29.00111262,19.99613049
90108333,14,MMC- Clayton,0,0,13.99517388,0.004015493
90108552,4,MMC- Clayton,0,0,4.002763507,-0.000857939
90109179,6,MMC- Clayton,0,0,5.999147855,-0.002248288
90110663,2,MMC- Clayton,1,50,2.001244222,49.99790263
90111104,1,MMC- Clayton,0,0,1.003660256,0.002106867
90111201,11,MMC- Clayton,1,9,10.99876784,8.998537873
90111262,1,MMC- Clayton,0,0,0.997930312,0.002297299
90111349,1,MMC- Clayton,0,0,1.002958649,0.002982193
90111526,2,MMC- Clayton,0,0,2.004062191,3.80524E-05
90111844,10,MMC- Clayton,0,0,10.00301752,0.004140897
90112537,1,MMC- Clayton,0,0,1.00104454,0.002479201
90113108,14,MMC- Clayton,0,0,13.99809999,0.002263935
90113497,17,MMC- Clayton,0,0,16.99951978,0.002798987
90114450,5,MMC- Clayton,0,0,5.00301472,0.002232871
90115768,4,MMC- Clayton,0,0,4.003934733,-0.002205366
90116410,17,MMC- Clayton,0,0,16.997668,0.004128798
90117588,13,MMC- Clayton,2,15,12.99874124,14.99764222
90117635,1,MMC- Clayton,0,0,1.002719645,0.000665347
90118416,14,MMC- Clayton,1,7,14.00360695,7.003506817
90119011,1,MMC- Clayton,0,0,0.995758819,0.002166692
90119285,20,MMC- Clayton,1,5,19.99798325,4.995703412
90119577,96,MMC- Clayton,3,3,96.00059292,2.995873834
90119823,20,MMC- Clayton,2,10,20.00250644,9.995013476
90119848,6,MMC- Clayton,0,0,5.997062361,-0.00258449
90119859,3,MMC- Clayton,0,0,3.00008904,-0.001978932
90119860,4,MMC- Clayton,0,0,4.001010901,-0.001074013
90119901,11,MMC- Clayton,3,27,11.0018398,27.00241223
90119988,8,MMC- Clayton,1,12,8.000798084,11.99517059
90121871,10,MMC- Clayton,1,10,9.996279515,9.999306033
90122677,49,MMC- Clayton,1,2,48.99986863,2.002697041
90123243,1,MMC- Clayton,0,0,0.999470295,-0.002135719
90123249,15,MMC- Clayton,1,6,14.99953871,5.996076115
90123309,3,MMC- Clayton,0,0,3.001087669,0.003038177
90123339,26,MMC- Clayton,1,3,25.99553654,2.995023
90124438,48,MMC- Clayton,1,2,47.99637198,1.997734948
90124446,10,MMC- Clayton,0,0,10.00433661,-0.003094143
90124447,14,MMC- Clayton,0,0,14.00329907,-0.000531887
90124476,24,MMC- Clayton,1,4,24.00114574,4.004166399
90124487,3,MMC- Clayton,0,0,2.998989093,-0.003335182
90124491,3,MMC- Clayton,0,0,2.995062067,0.001139437
90124492,3,MMC- Clayton,0,0,3.004005046,0.001437887
90124502,2,MMC- Clayton,0,0,2.000285721,0.002963423
90124505,21,MMC- Clayton,1,4,20.99910416,4.00217181
90124517,4,MMC- Clayton,0,0,4.004602768,0.000836793
90124523,15,MMC- Clayton,0,0,14.99944548,0.002765082
90124524,33,MMC- Clayton,0,0,33.00380375,-0.004463389
90124526,41,MMC- Clayton,4,9,41.00226872,8.999112362
90124543,4,MMC- Clayton,0,0,3.998264319,0.00179696
90124546,5,MMC- Clayton,0,0,4.996636895,-0.000119478
90124556,16,MMC- Clayton,0,0,15.99968161,-0.002765385
90124561,16,MMC- Clayton,1,6,15.99662153,5.998846498
90124563,5,MMC- Clayton,0,0,4.996713436,0.003440425
90124566,8,MMC- Clayton,0,0,7.999558412,0.001993426
90124581,2,MMC- Clayton,0,0,2.001665213,-0.004928271
90124585,15,MMC- Clayton,1,6,15.00256787,5.999478221
90124609,63,MMC- Clayton,2,3,62.99567086,3.002253118
90124617,6,MMC- Clayton,0,0,5.995375766,-0.004296947
90124621,37,MMC- Clayton,2,5,37.00435987,4.999369185
90124633,5,MMC- Clayton,0,0,5.002266391,-0.003907071
90124637,6,MMC- Clayton,1,16,5.995105518,15.99881896
90124682,8,MMC- Clayton,0,0,7.99598546,-0.002552989
90124698,14,MMC- Clayton,0,0,13.99879884,-0.001220695
90124937,7,MMC- Clayton,0,0,6.997467253,-0.002776991
90124938,3,MMC- Clayton,0,0,3.002467563,-0.004553432
90127264,4,MMC- Clayton,0,0,4.003357328,-0.002234478
90127293,13,MMC- Clayton,2,15,13.0019548,15.00493946
90127352,2,MMC- Clayton,0,0,2.000955603,0.000836
90127356,22,MMC- Clayton,3,13,22.00017727,12.99980139
90127515,22,MMC- Clayton,0,0,22.00289937,0.003533872
90132178,3,MMC- Clayton,0,0,2.995316032,-0.000595076
90136195,4,MMC- Clayton,0,0,3.998564267,-0.001258128
90136674,6,MMC- Clayton,1,16,6.001641793,15.99610361
90136682,7,MMC- Clayton,1,14,6.999136163,13.99607056
90136838,27,MMC- Clayton,2,7,26.99897733,7.003010461
90136845,1,MMC- Clayton,0,0,1.000766743,0.002587752
90136849,11,MMC- Clayton,0,0,10.99803647,8.00369E-05
90136850,26,MMC- Clayton,2,7,25.9998764,7.003235358
90137813,2,MMC- Clayton,0,0,1.995073956,-0.000128052
90138704,27,MMC- Clayton,2,7,26.99961651,7.004573693
90138705,51,MMC- Clayton,2,3,50.99870719,2.998956131
90138707,1,MMC- Clayton,0,0,1.004104953,0.002650581
90140139,5,MMC- Clayton,0,0,4.99704212,-0.001175632
90141235,6,MMC- Clayton,0,0,6.00400284,0.003783796
90141465,5,MMC- Clayton,0,0,5.001386106,-0.004829673
90141719,1,MMC- Clayton,0,0,1.003856494,0.002706034
